participant,group-id,n-comments,n-votes,n-agree,n-disagree,0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27,28,29,30,31,32,33,34,35,36,37,38,39,40,41,42,43,44,45,46,47,48,49
121,1,0,32,20,11,-1,1,-1,-1,1,-1,-1,1,1,1,1,-1,1,1,1,1,1,1,1,1,1,0,1,-1,1,1,-1,-1,1,-1,1,-1,,,,,,,,,,,,,,,,,,
122,0,0,19,9,8,-1,1,-1,,-1,,,-1,,,,,0,1,-1,,1,1,,1,0,1,1,,1,1,,-1,,,-1,-1,,,,,,,,,,,,,,,,,,
123,0,0,32,17,14,-1,1,-1,-1,1,-1,-1,-1,1,-1,1,-1,-1,1,1,1,1,1,1,1,1,1,-1,-1,1,1,-1,-1,1,-1,1,0,,,,,,,,,,,,,,,,,,
124,1,0,32,16,7,-1,1,1,-1,0,-1,0,0,0,1,-1,1,1,0,1,1,1,1,1,1,1,1,0,-1,-1,1,-1,0,0,1,1,0,,,,,,,,,,,,,,,,,,
125,0,0,32,14,12,-1,1,-1,-1,-1,-1,1,-1,0,1,0,0,-1,1,1,1,1,1,1,1,0,-1,0,-1,1,1,-1,-1,1,-1,1,0,,,,,,,,,,,,,,,,,,
126,0,0,32,14,16,-1,1,-1,-1,1,-1,1,-1,-1,1,-1,1,1,1,1,-1,1,1,0,1,-1,-1,1,-1,1,1,-1,-1,0,-1,-1,-1,,,,,,,,,,,,,,,,,,
127,0,0,12,6,5,-1,,,,,-1,,,1,-1,,,,1,,,,1,,1,1,,,,0,,,,,-1,,-1,,1,,,,,,,,,,,,,,,,
128,0,0,35,21,12,0,1,-1,-1,-1,-1,-1,-1,1,1,1,1,1,1,1,1,1,1,1,1,-1,0,-1,-1,1,1,-1,-1,1,-1,1,,1,1,1,,1,,,,,,,,,,,,,
129,1,0,32,14,14,-1,1,,-1,1,-1,-1,1,-1,0,-1,1,-1,-1,,1,,1,-1,1,1,1,1,-1,-1,,,-1,0,1,-1,-1,,1,1,0,0,1,,,,,,,,,,,,
132,0,0,21,12,8,-1,1,-1,,,-1,,1,1,-1,,,-1,1,1,-1,,,,1,1,1,,,1,,-1,-1,,,,,,,1,1,1,0,,,,,,,,,,,,
133,0,0,38,16,15,-1,1,-1,-1,-1,1,1,-1,1,0,0,0,-1,0,1,1,1,1,1,1,-1,-1,-1,-1,1,1,-1,-1,0,-1,1,-1,1,1,1,0,0,-1,,,,,,,,,,,,
134,1,0,39,26,12,-1,1,0,-1,1,-1,-1,1,-1,1,-1,1,1,1,1,-1,1,1,1,1,1,1,1,-1,-1,1,-1,-1,1,1,1,-1,1,1,1,1,1,1,1,,,,,,,,,,,
135,0,0,39,20,16,-1,1,-1,-1,-1,1,1,-1,1,-1,-1,1,1,1,1,1,1,1,1,0,-1,-1,0,-1,0,1,-1,-1,-1,1,-1,-1,1,1,1,1,1,-1,1,,,,,,,,,,,
136,0,0,39,19,14,-1,1,-1,-1,-1,-1,0,-1,1,-1,0,1,0,1,1,1,1,1,0,1,-1,-1,0,0,1,1,-1,-1,1,1,-1,-1,1,1,1,1,1,-1,1,,,,,,,,,,,
137,0,0,35,9,15,-1,1,-1,,1,-1,0,-1,1,-1,-1,1,-1,1,0,-1,0,0,1,0,,0,1,-1,-1,0,-1,0,,0,-1,-1,1,-1,1,0,,-1,0,,,,,,,,,,,
138,1,0,39,17,13,-1,1,1,0,1,-1,-1,1,-1,0,0,0,1,-1,1,0,0,1,-1,1,1,1,0,-1,-1,-1,0,-1,1,1,1,1,-1,1,0,1,-1,1,-1,,,,,,,,,,,
139,1,0,32,17,11,-1,1,1,-1,1,-1,-1,1,-1,1,1,,-1,0,1,-1,,1,0,1,1,,1,-1,-1,1,-1,-1,0,,1,1,,1,,1,,1,0,,,,,,,,,,,
140,1,3,48,26,15,-1,1,0,-1,-1,-1,-1,-1,-1,-1,-1,1,-1,1,1,1,1,1,1,1,1,1,1,-1,-1,0,-1,-1,0,1,0,0,1,1,1,1,1,0,-1,1,1,1,1,1,0,1,1,1,,
142,1,0,27,16,11,-1,1,1,-1,,-1,-1,1,-1,1,-1,1,-1,1,,1,1,1,-1,1,1,,,,-1,1,-1,,,1,1,1,,,,,-1,,1,,,,,,,,,,,
143,0,0,33,14,19,-1,1,-1,-1,-1,,-1,-1,1,-1,1,-1,,1,1,1,1,1,1,1,,-1,-1,-1,-1,,-1,-1,,,-1,-1,1,1,-1,1,-1,-1,1,,,,,,,,,,,
144,0,0,20,7,9,-1,1,,-1,,1,1,-1,,-1,,,,1,1,-1,,,,1,,,-1,0,-1,0,,,,,1,-1,0,0,,,,-1,,,,,,,,,,,,
145,1,0,40,23,11,-1,1,-1,-1,1,-1,1,1,0,0,-1,1,1,1,1,-1,1,1,1,1,1,1,-1,-1,0,1,0,-1,1,-1,0,-1,1,1,1,1,1,1,0,1,,,,,,,,,,
146,1,0,30,12,13,-1,1,,,,-1,-1,1,-1,0,-1,1,1,0,1,-1,,0,-1,1,1,1,0,-1,,-1,-1,,-1,,-1,-1,1,1,0,1,,1,,,,,,,,,,,,
147,0,0,42,17,13,-1,1,-1,-1,-1,0,1,-1,1,0,-1,1,1,1,1,1,1,1,1,1,0,-1,-1,0,0,0,-1,-1,1,0,-1,-1,0,1,1,1,0,-1,1,0,0,0,,,,,,,,
148,0,0,42,16,21,-1,1,-1,-1,-1,-1,-1,-1,1,0,-1,1,-1,1,1,-1,1,-1,0,1,1,0,-1,-1,-1,-1,-1,-1,-1,1,-1,-1,1,0,1,1,1,0,1,1,1,-1,,,,,,,,
149,0,0,42,17,16,-1,1,-1,-1,-1,0,1,-1,1,1,1,-1,1,1,1,1,1,1,1,1,-1,0,0,-1,-1,-1,-1,-1,1,1,-1,-1,-1,1,1,0,0,-1,0,0,0,0,,,,,,,,
150,0,0,42,25,16,-1,1,-1,-1,1,-1,-1,-1,1,-1,-1,1,1,1,1,1,1,1,1,1,1,1,0,-1,1,1,-1,-1,-1,1,-1,-1,1,1,1,1,1,-1,1,1,-1,1,,,,,,,,
151,0,0,21,10,11,-1,,-1,-1,,,,-1,,-1,,1,,1,1,-1,1,,1,,,1,,-1,,1,-1,-1,,,-1,-1,,1,,1,,,,1,,,,,,,,,,
152,1,4,46,29,17,-1,1,1,-1,1,-1,-1,1,-1,1,-1,1,-1,1,1,-1,1,1,-1,1,1,1,1,-1,-1,1,-1,-1,-1,1,-1,1,1,1,1,1,1,1,1,-1,-1,1,1,1,1,1,,,,
153,0,0,41,20,13,-1,1,-1,0,,0,0,-1,1,-1,1,1,,1,1,-1,1,1,1,1,1,0,-1,-1,0,1,-1,-1,1,-1,0,-1,0,1,1,1,0,-1,1,1,1,-1,1,,,,,,,
154,1,2,36,20,10,-1,1,0,-1,1,-1,-1,1,,,-1,1,,0,,-1,,1,0,1,0,1,1,,-1,1,-1,-1,1,,-1,,1,,1,0,1,0,1,1,,,1,1,,1,1,1,,
155,1,0,48,31,13,-1,1,-1,-1,1,-1,-1,0,0,1,0,1,0,1,1,1,1,1,1,1,1,1,-1,-1,-1,1,-1,-1,1,1,-1,1,1,1,1,1,1,-1,-1,1,1,1,1,1,1,1,1,1,,
156,0,0,48,28,15,-1,1,-1,-1,1,1,1,-1,1,-1,0,0,1,1,1,1,1,1,1,1,-1,0,-1,-1,1,1,-1,-1,1,1,0,-1,1,1,1,1,1,-1,1,1,-1,-1,0,1,-1,1,1,1,,
157,0,0,48,24,21,-1,1,-1,-1,-1,1,1,-1,1,-1,1,-1,1,1,1,1,1,1,1,1,-1,0,0,-1,1,1,-1,-1,1,-1,-1,-1,1,0,1,1,-1,-1,1,-1,-1,-1,-1,1,-1,1,1,1,,
159,0,0,48,21,14,-1,1,-1,-1,-1,0,0,-1,1,0,1,1,-1,1,1,-1,1,1,1,1,-1,1,0,-1,1,1,-1,-1,1,1,1,-1,1,1,1,0,0,-1,0,0,0,0,0,0,-1,0,1,1,,
160,0,0,48,15,11,0,0,-1,-1,-1,0,0,0,0,0,0,1,0,1,0,1,1,-1,0,1,0,0,-1,0,0,1,-1,-1,1,1,1,-1,0,1,1,1,0,-1,1,0,0,-1,0,0,-1,0,1,1,,
161,0,0,48,31,16,-1,1,-1,-1,-1,-1,-1,-1,1,1,-1,1,-1,1,1,1,1,1,1,1,1,1,-1,-1,1,1,-1,-1,1,1,-1,-1,1,1,1,1,1,1,1,1,1,-1,0,1,1,1,1,1,,
162,0,0,48,24,13,-1,1,-1,-1,-1,-1,0,1,1,-1,1,1,-1,0,1,0,1,1,1,1,0,1,1,-1,0,0,-1,-1,1,0,-1,0,1,1,1,1,1,-1,1,0,1,0,1,0,-1,1,1,1,,
163,1,0,48,30,9,-1,1,1,-1,1,-1,-1,1,0,1,-1,1,1,0,1,1,1,1,-1,1,1,1,1,-1,0,0,0,-1,1,1,1,-1,0,1,1,1,1,0,0,1,1,0,1,1,1,1,1,1,,
164,1,0,48,23,14,-1,1,0,-1,0,-1,-1,1,-1,0,-1,1,-1,0,1,1,0,0,0,1,1,1,1,-1,0,1,-1,-1,1,-1,-1,-1,1,0,1,1,1,1,0,1,1,1,1,0,-1,1,1,1,,
166,0,0,34,15,8,-1,,-1,-1,1,,0,,,0,,0,0,,,-1,,,1,1,0,1,,-1,1,1,-1,-1,0,0,,-1,0,1,,1,,0,0,1,,0,1,1,1,1,1,1,,
167,1,0,48,26,15,-1,1,0,-1,0,-1,-1,0,0,0,1,-1,-1,1,1,1,1,1,1,1,1,1,-1,-1,0,1,-1,-1,1,-1,-1,-1,1,1,1,1,1,1,-1,1,0,1,1,1,-1,1,1,1,,
168,1,0,28,17,11,-1,1,1,,,-1,,1,1,,1,-1,,,1,,1,1,,,1,1,-1,-1,,1,-1,,-1,1,,-1,,1,1,,,,,-1,-1,-1,,,1,1,1,,,
169,1,0,42,23,18,-1,1,-1,-1,-1,-1,-1,1,-1,1,-1,1,1,1,1,-1,1,1,1,-1,,,1,-1,-1,1,-1,-1,-1,,-1,-1,,1,1,1,,0,,1,1,1,1,-1,1,1,1,1,,
170,1,0,23,14,7,-1,,1,-1,0,-1,-1,,-1,,,1,,1,1,,,1,0,,,1,,,-1,1,,,,,-1,,1,,,1,1,1,,,1,,,1,1,,,,,
171,1,0,38,14,20,1,,1,-1,-1,,,1,1,1,-1,1,0,-1,1,0,1,-1,-1,,-1,-1,1,1,,-1,,1,-1,1,-1,0,-1,-1,-1,,,-1,,-1,0,,1,-1,1,-1,-1,-1,,
172,1,0,48,30,7,0,0,0,1,1,-1,0,1,0,1,-1,1,0,0,1,-1,1,1,0,1,1,1,1,-1,-1,1,-1,-1,1,1,0,1,1,1,1,1,1,0,1,1,0,1,1,1,1,1,1,1,,
173,0,0,48,25,14,-1,1,0,-1,-1,-1,1,1,0,1,-1,1,1,1,1,-1,1,1,1,1,1,1,0,-1,1,1,-1,-1,0,-1,-1,-1,1,0,1,1,1,-1,0,0,1,0,1,1,-1,1,0,1,,
174,1,0,43,15,15,-1,1,0,-1,1,-1,-1,0,-1,0,0,,0,1,1,0,,1,0,1,0,0,-1,-1,1,,-1,-1,1,-1,0,-1,1,,1,1,1,-1,0,-1,0,,0,1,-1,-1,1,1,,
175,0,0,41,22,16,-1,,-1,-1,,-1,,-1,1,1,-1,,-1,1,1,,1,1,,1,1,-1,0,-1,1,1,,-1,1,1,-1,-1,1,1,1,1,1,-1,-1,0,1,1,0,1,-1,-1,1,1,,
176,0,0,48,21,16,-1,1,-1,-1,-1,0,1,-1,1,-1,0,0,0,1,1,0,1,1,1,1,-1,-1,-1,-1,1,1,-1,-1,1,0,-1,-1,1,1,1,1,0,0,-1,0,0,-1,0,1,1,1,1,1,,
177,1,0,41,22,13,-1,1,-1,-1,,-1,-1,1,0,-1,,-1,-1,1,1,-1,1,1,0,,1,1,,-1,,1,-1,-1,1,0,,0,1,1,1,0,1,1,1,1,-1,1,1,,1,1,1,0,,
178,0,0,21,7,9,-1,1,0,,-1,-1,,-1,,,,1,1,,,-1,,1,1,,0,0,,-1,,,,-1,,,-1,,,,1,,,,-1,0,0,,,,,1,,,,
179,0,0,48,24,20,-1,1,-1,-1,-1,-1,-1,-1,1,-1,-1,1,-1,1,1,1,1,1,1,1,1,0,-1,-1,1,1,-1,-1,-1,-1,-1,1,1,-1,1,1,1,-1,0,1,0,1,0,1,-1,1,1,1,,
180,0,0,48,26,8,-1,1,-1,-1,-1,0,0,-1,1,0,0,0,0,1,1,1,1,1,1,1,0,1,-1,0,1,1,-1,-1,1,0,0,0,1,1,1,1,1,0,1,1,1,0,1,1,0,1,1,1,,
182,0,0,26,17,7,-1,1,,,-1,1,1,-1,,,0,1,,,1,1,1,1,1,1,,-1,,1,1,1,-1,-1,1,,,-1,,,,,,,,,,,0,,,1,1,1,,
183,0,0,48,27,13,-1,1,-1,-1,-1,-1,0,-1,1,-1,-1,1,1,1,1,1,1,1,1,1,-1,0,0,0,1,1,-1,-1,1,1,0,-1,1,1,1,1,1,-1,1,1,0,0,1,1,0,1,1,1,,
185,1,0,25,13,12,-1,,,,1,,-1,1,-1,,-1,,-1,-1,-1,,-1,,-1,,1,1,1,,1,1,1,,-1,,1,,1,1,1,,,,-1,,,,-1,1,,,,,,
186,1,2,50,27,14,-1,1,-1,-1,1,-1,-1,0,-1,1,1,-1,-1,1,1,-1,1,1,0,1,0,1,0,-1,0,1,-1,-1,1,0,0,-1,1,1,1,1,1,1,0,1,1,0,1,1,-1,1,1,1,1,1
187,1,0,49,27,15,-1,1,0,1,-1,-1,-1,0,0,0,1,-1,-1,1,1,-1,1,1,0,1,1,-1,1,-1,1,1,-1,-1,1,-1,1,-1,1,1,1,1,1,1,-1,1,1,1,0,1,-1,1,1,0,1,
188,1,0,32,13,12,-1,1,,-1,1,-1,-1,1,,1,-1,,,0,,-1,,-1,,1,,1,,-1,1,,-1,-1,,1,0,0,,,0,1,,0,,1,1,,1,,-1,0,1,0,-1,
192,1,0,17,12,4,0,,-1,,,-1,,,,,,,,,,,1,,1,,,1,1,,1,,-1,,1,1,,,1,,,,1,1,,,,,,1,,1,,,-1,
193,1,0,47,28,15,-1,1,0,-1,1,-1,-1,0,-1,1,-1,-1,,1,1,,1,0,1,1,1,1,1,-1,-1,1,-1,-1,-1,1,1,0,1,1,1,1,-1,1,-1,1,-1,1,1,1,1,1,1,1,1,
195,0,0,50,31,16,-1,1,1,-1,-1,-1,1,-1,1,1,-1,1,1,1,1,-1,1,1,1,1,0,1,1,-1,1,1,-1,-1,1,1,-1,-1,1,1,1,1,1,-1,-1,1,-1,-1,0,1,0,1,1,1,1,1
196,0,0,50,27,16,-1,1,-1,-1,-1,-1,1,-1,1,0,-1,1,-1,1,1,1,1,1,1,1,-1,-1,0,-1,0,1,-1,-1,1,1,0,-1,1,0,1,1,1,-1,1,1,0,1,1,1,-1,1,1,1,1,0
197,0,0,50,28,15,-1,1,-1,-1,-1,0,1,-1,1,0,0,1,1,1,1,1,1,1,1,1,-1,1,-1,-1,1,1,-1,-1,1,0,1,-1,1,1,1,1,-1,-1,1,1,-1,0,0,1,0,1,1,1,1,-1
200,0,0,50,30,18,-1,1,-1,-1,-1,-1,1,0,-1,1,-1,1,1,1,1,1,1,1,1,1,-1,-1,0,-1,1,1,-1,-1,1,-1,-1,-1,1,1,1,1,1,1,1,1,1,-1,1,1,-1,1,1,1,1,-1
202,0,0,50,24,18,-1,1,-1,-1,-1,-1,1,-1,1,0,-1,1,-1,1,1,-1,1,1,1,0,-1,0,1,0,1,1,-1,-1,1,-1,-1,-1,1,1,1,1,0,-1,1,1,0,-1,1,1,-1,0,1,1,1,0
23,0,0,5,3,2,,1,-1,,-1,,1,,,,,,,,,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
56,0,0,11,3,7,,1,-1,-1,-1,,,,0,-1,-1,1,-1,,,,,-1,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
85,1,0,11,5,2,,1,-1,,0,,-1,,,,0,1,,,,,0,,1,,1,,1,,,,,,,0,,,,,,,,,,,,,,,,,,,,
92,1,0,14,7,6,,1,-1,-1,0,,,1,,1,1,-1,,,1,-1,,,,,,1,-1,,,1,,-1,,,,,,,,,,,,,,,,,,,,,,
99,1,0,16,8,7,,1,-1,,1,,-1,,,,,-1,,,-1,1,1,,1,,1,-1,,-1,1,,0,-1,1,,,,,,,,,,,,,,,,,,,,,
115,0,0,17,9,2,,1,,-1,-1,,1,,0,,1,1,0,,1,1,,1,0,,,0,,0,,1,,,1,0,,,,,,,,,,,,,,,,,,,,
165,1,0,3,2,0,,0,,,,,,,,,,,,,,,,,,,,1,,,,,,,,1,,,,,,,,,,,,,,,,,,,,
189,1,0,13,2,11,,-1,,-1,,,,,-1,,1,,,,,,,-1,-1,,,-1,1,-1,-1,,,,-1,,,,,,,,-1,,,,,,,,,,,-1,,
198,0,0,42,25,11,,1,-1,-1,0,0,1,-1,1,-1,0,0,-1,1,1,1,,1,1,1,-1,1,1,1,,1,-1,,1,1,1,-1,,1,1,-1,0,-1,1,1,,0,1,,-1,,1,1,1,1
201,0,0,6,5,1,,1,,,,,,,,,,,,,,,,,,1,,,,,,1,,,,,-1,,,,1,,,,,,,,,,,,1,,,
203,0,0,20,15,4,,1,-1,,,1,,,,1,,,,1,,,1,,1,1,-1,,,,1,,,,,,-1,,1,1,,,,,0,1,1,,,1,-1,,,,1,1
84,1,0,7,5,2,,,1,,1,,,,,,,,,,,,1,,,1,1,,,-1,,-1,,,,,,,,,,,,,,,,,,,,,,,,
113,1,0,16,7,5,,,1,,-1,,,,-1,1,0,0,0,,1,,1,,-1,1,0,,,,-1,1,,,-1,1,,,,,,,,,,,,,,,,,,,,
118,1,0,6,4,2,,,1,,,,,,,,1,,,,,,1,1,-1,,,,,-1,,,,,,,,,,,,,,,,,,,,,,,,,,
191,1,0,5,4,1,,,-1,,,,,,,,,,,,,,,,,,1,,1,,,,,,,1,,,,,,,,,,,,,,,,,1,,,
199,0,0,7,3,4,,,-1,,,,,,,-1,,,,,,,,,,1,,,-1,,,,,,,,,,,,,1,1,,,,,-1,,,,,,,,
101,0,0,7,3,3,,,,-1,,,0,,1,,,,,,,,,,1,,,,-1,-1,,1,,,,,,,,,,,,,,,,,,,,,,,,
108,1,0,16,8,8,,,,-1,,-1,-1,1,,,-1,1,-1,,1,1,,1,,1,,,1,,-1,1,-1,,-1,,,,,,,,,,,,,,,,,,,,,
141,0,0,8,3,5,,,,-1,,,,,,-1,-1,,,,,,,,,1,,,,-1,1,,,,,1,,-1,,,,,,,,,,,,,,,,,,
181,0,0,7,2,5,,,,-1,-1,,,,,,-1,,,,,,,,,,-1,,,,,,-1,,,,,,,,1,,,,,,,,,,,1,,,,
190,0,0,29,14,11,,,,-1,-1,,,-1,1,0,1,-1,-1,1,1,-1,,1,1,1,-1,,,,,1,,,,-1,,-1,,,1,1,0,-1,1,,0,,0,,-1,,1,1,1,
8,1,0,1,0,0,,,,,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
76,0,0,11,6,5,,,,,,1,,-1,1,,-1,,-1,1,,1,,,,,-1,,1,-1,,1,,,,,,,,,,,,,,,,,,,,,,,,
112,,0,1,1,0,,,,,,,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
158,0,0,12,8,3,,,,,,,,-1,,,,,,,,,,1,,1,,,,0,,1,,-1,,,,,,,1,,1,,1,,-1,,1,,,,,1,,
130,1,0,4,3,1,,,,,,,,,-1,,,,,,,,1,,,,,,,,,,,,,,,,,1,,,,1,,,,,,,,,,,,
106,,0,1,1,0,,,,,,,,,,,,,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
86,,0,1,0,0,,,,,,,,,,,,,,,,,,,,,,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,
184,,0,1,1,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,,,,,,,,,,,,,,,,,
194,,0,1,1,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,,,,,,,,,,,,,,,,
131,,0,1,0,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,-1,,,,,,,,,,,,
