participant,group-id,n-comments,n-votes,n-agree,n-disagree,0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27,28,29,30,31,32,33,34,35,36,37,38,39,40,41,42,43,44,45,46,47,48,49,50,51,52,53,54,55,56,57,58,59,60,61,62,63,64,65,66,67,68,69,70,71,72,73,74,75,76,77,78,79,80,81,82,83,84,85,86,87,88,89,90,91,92,93,94,95,96,97,98,99,100,101,102,103,104,105,106,107,108,109,110,111,112,113,114,115,116,117,118,119,120,121,122,123,124,125,126,127,128,129,130,131,132,133,134,135,136,137,138,139,140,141,142,143,144,145,146,147,148,149,150,151,152,153,154,155,156,157,158,159,160,161,162,163,164,165,166,167,168,169,170,171,172,173
0,1,47,74,6,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,,,,,,0,0,0,1,1,0,0,,,,,,,,,0,1,0,,,,,,,1,,,,,0,0,,,0,0,1,,,,,,,,0,,,,,,0,0,0,0,0,,0,,0,,,,0,0,0,,,,,,0,,0,,,,-1,,0,-1,,,,,,,,,,,,0,,,,,,,,,,,,,,,,,,0,,1,,0,,,,,,0,0,0,0,,0,,0,0,,,,,0,,,,,,
3,1,0,153,75,23,1,1,1,1,1,-1,-1,0,1,-1,1,1,1,-1,-1,0,0,1,-1,1,0,0,1,1,0,1,1,1,0,1,1,1,1,,,,0,1,0,-1,1,0,0,0,1,0,0,,1,,,0,1,1,0,,1,0,-1,,1,1,0,,,1,1,0,1,1,1,1,0,0,1,0,,1,1,0,0,0,0,1,,,,,1,1,,1,1,1,,,,1,1,-1,0,0,-1,0,0,-1,0,0,0,-1,1,1,,0,-1,1,1,-1,0,0,-1,-1,-1,0,1,1,1,0,0,1,0,0,-1,1,0,,1,1,1,1,0,0,1,1,-1,1,1,1,1,0,0,0,0,0,-1,1,1,-1,1,1,0,0,0,0,-1,-1,1,0,1,1,1,1,1,0
4,1,0,61,46,15,1,1,1,1,1,1,1,-1,1,-1,1,1,1,-1,-1,-1,-1,-1,-1,1,1,1,1,1,1,-1,-1,1,1,1,1,1,1,,,,-1,1,-1,-1,,1,1,1,1,1,1,,1,,,1,1,1,1,,1,1,-1,,1,1,1,,,1,1,,,,1,1,1,,,,,1,,,,,,,,,,,-1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
7,1,0,30,17,6,1,1,1,1,1,0,0,0,1,-1,0,1,1,-1,-1,0,-1,0,-1,1,1,1,1,1,0,1,-1,1,1,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
9,1,10,151,88,25,1,0,1,0,1,-1,1,0,1,-1,-1,1,1,-1,-1,0,-1,0,-1,1,1,1,1,0,-1,-1,0,1,1,1,1,1,1,,,,1,0,1,-1,1,0,1,1,1,0,0,,1,,,1,0,1,0,,0,0,1,,1,1,0,,,1,0,1,1,1,1,1,1,0,-1,1,,1,0,1,0,0,-1,1,,,,,1,1,1,1,1,1,,,,0,1,0,0,0,0,0,1,-1,-1,-1,1,1,1,1,1,-1,-1,1,1,-1,1,1,-1,-1,-1,0,1,1,1,1,0,1,1,0,1,1,1,,1,1,1,1,0,1,1,1,-1,1,0,1,1,1,-1,1,1,1,-1,1,1,1,1,1,0,-1,0,0,0,0,1,,,,1,,1,0
14,1,0,32,21,8,1,1,1,0,1,1,-1,-1,1,1,0,1,1,-1,-1,-1,-1,1,-1,1,1,1,1,1,1,-1,1,0,1,1,1,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
17,1,0,32,17,12,1,1,1,1,-1,1,-1,-1,1,-1,-1,0,1,-1,-1,0,-1,-1,-1,1,1,1,1,1,-1,-1,1,1,1,1,1,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
19,1,0,27,15,8,1,1,1,0,1,1,-1,-1,1,,0,,1,-1,-1,-1,-1,1,-1,0,1,1,,1,-1,1,1,1,1,,,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
22,1,0,32,20,8,1,1,1,0,1,1,-1,1,1,-1,-1,1,1,-1,-1,-1,-1,1,1,1,0,1,1,0,0,-1,1,1,1,1,1,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
23,1,28,160,112,34,1,1,1,0,1,1,-1,0,0,-1,0,1,1,-1,-1,-1,-1,1,1,1,1,1,1,-1,-1,-1,1,1,1,1,1,-1,1,,,,-1,0,-1,1,0,1,1,1,1,1,1,1,0,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,0,1,1,-1,1,1,-1,1,0,1,1,-1,-1,1,,,,,-1,1,,1,1,-1,,,,1,1,1,-1,0,-1,1,1,1,1,1,1,-1,1,1,,1,1,1,1,1,1,1,1,-1,1,1,-1,-1,1,1,1,1,1,1,-1,1,1,,0,1,1,1,1,1,1,1,-1,1,1,1,1,-1,1,-1,1,1,1,0,0,-1,1,1,1,-1,0,-1,1,-1,1,-1,-1,1,1,1,1,
25,1,2,70,26,9,1,1,0,0,1,1,-1,-1,1,1,-1,1,1,-1,-1,0,0,0,1,1,1,1,1,-1,1,-1,1,1,1,-1,1,1,-1,,,,0,1,1,1,0,0,0,0,0,0,0,,1,,,0,0,0,0,,0,0,0,,0,0,0,,,0,0,1,0,0,1,0,0,0,0,0,,1,0,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
27,1,0,36,20,11,1,1,1,1,-1,1,1,0,1,-1,0,1,1,-1,-1,-1,-1,-1,1,1,1,1,1,0,1,-1,1,1,1,1,0,1,,,,,0,-1,-1,-1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
29,1,1,32,21,7,1,1,1,0,1,1,1,-1,1,0,,1,,-1,,-1,-1,1,,1,1,1,1,-1,1,-1,1,1,1,1,-1,0,,,,,0,,1,1,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
30,1,0,36,22,12,1,1,1,1,1,1,-1,-1,0,-1,-1,1,1,-1,-1,1,-1,1,-1,1,1,1,1,1,-1,-1,-1,1,1,1,1,1,,,,,0,1,-1,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
32,,0,1,1,0,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
34,1,0,37,22,12,1,1,1,0,1,1,1,-1,1,1,-1,1,1,-1,-1,-1,-1,-1,1,1,1,1,1,-1,1,-1,1,1,1,1,1,0,,,,,-1,0,-1,1,-1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
35,1,0,30,11,4,0,0,1,1,0,1,,0,0,-1,-1,1,,0,0,0,0,,,1,,0,0,1,0,1,1,,0,1,1,0,,,,,-1,,-1,0,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
37,1,0,37,24,13,1,1,1,-1,1,1,-1,1,1,-1,-1,1,1,-1,-1,-1,-1,1,1,1,1,1,1,-1,1,-1,1,1,1,1,1,1,,,,,1,-1,-1,1,-1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
38,1,0,63,36,13,1,1,1,0,1,-1,0,0,1,-1,1,1,1,-1,-1,-1,-1,0,-1,1,,1,1,1,1,1,-1,1,1,1,1,1,0,,,,1,0,-1,1,0,0,,1,,,1,,0,,,,1,1,,,1,0,-1,,0,1,1,,,0,0,,1,0,1,1,1,1,1,-1,,1,,-1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,,,,,,,,,-1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
39,1,0,38,23,11,1,1,1,0,1,0,-1,1,1,-1,0,1,1,-1,-1,-1,-1,1,-1,1,0,1,1,1,-1,-1,-1,1,1,1,1,1,1,,,,1,1,1,1,-1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
40,1,0,38,28,10,1,1,1,1,1,1,1,-1,1,1,-1,1,1,-1,1,1,-1,1,-1,1,-1,1,1,1,-1,-1,1,1,1,1,1,1,-1,,,,1,1,1,1,-1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
42,1,0,52,21,6,0,1,1,1,1,-1,0,-1,1,-1,0,1,1,-1,-1,0,0,0,1,0,1,0,0,1,0,0,1,1,0,1,1,1,1,,,,0,0,-1,0,0,,,,,,,,,,,,0,,,,0,0,,,,,,,,,,,1,0,1,,,,0,,,,,0,,0,,,,,,,,1,,,,1,,,,,,,,,0,,1,,,,,,,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
47,0,0,42,17,21,-1,1,-1,-1,1,0,-1,-1,1,1,-1,1,1,-1,0,-1,0,-1,1,1,1,-1,-1,-1,-1,-1,1,1,-1,1,1,1,1,,,,1,-1,-1,0,-1,-1,1,-1,-1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
48,1,0,41,30,11,1,1,1,1,1,1,-1,1,1,-1,1,1,1,-1,-1,-1,1,-1,-1,1,1,1,1,1,1,1,-1,1,1,1,1,1,1,,,,-1,1,-1,-1,1,1,1,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
56,1,0,17,7,4,1,,,,,0,,,-1,,,1,,-1,,1,,,,,,1,,,-1,,-1,,1,,,,,,,,,,,0,,,,,,,,,,,,0,1,,,,,,,,,0,0,,,,1,,,,,,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
57,1,0,63,40,19,1,1,1,1,-1,-1,-1,-1,1,-1,-1,1,1,-1,-1,-1,0,-1,-1,1,1,0,1,1,-1,-1,-1,1,1,1,1,0,1,,,,1,1,1,-1,1,1,1,1,1,1,1,,1,,,1,1,1,1,,1,1,-1,,1,0,1,,,1,1,1,1,1,-1,-1,-1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
58,1,0,63,41,12,1,1,1,0,1,1,-1,-1,0,-1,0,1,0,-1,-1,-1,-1,1,1,1,0,1,1,-1,-1,-1,1,1,1,1,1,0,1,,,,-1,0,-1,1,0,1,1,1,1,1,1,,0,,,1,1,1,1,,1,1,1,,1,1,1,,,1,1,1,1,1,0,1,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
60,1,0,11,7,1,0,,,0,,,,,,,,,,,,,,,1,,1,,,,,,,1,,,1,,,,,,,,,,,1,,,,,,,,,,,,1,,,,0,,,,-1,,,,,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
61,1,0,9,9,0,1,1,,,,,,,,,,,,,,,,,,1,,1,,,,,1,,,,,,,,,,,,,,,,,,1,1,,,,,,1,,,,,,,,,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
62,0,0,63,39,16,0,1,1,0,1,1,-1,-1,1,1,-1,1,1,1,1,1,-1,-1,1,1,1,1,1,-1,1,-1,1,-1,1,-1,-1,0,-1,,,,-1,-1,1,1,1,0,0,0,-1,1,0,,1,,,1,1,1,1,,-1,0,1,,1,1,1,,,-1,1,1,1,1,1,1,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
63,1,1,57,41,13,1,,1,1,1,1,-1,-1,1,,-1,,1,-1,1,-1,0,,1,1,1,1,1,-1,-1,-1,1,1,1,1,1,,-1,,,,1,1,-1,-1,1,1,0,1,,1,0,,1,,,1,1,1,1,,1,1,1,,1,1,1,,,1,1,,1,1,1,-1,-1,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
64,1,0,58,28,18,1,1,1,0,0,-1,-1,,-1,-1,1,1,1,-1,-1,0,-1,1,-1,1,-1,1,1,1,1,-1,1,1,1,1,1,1,1,,,,-1,1,-1,-1,-1,0,1,0,,1,0,,-1,,,0,1,,1,,1,0,-1,,0,1,0,,,0,0,1,,1,-1,,-1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
68,1,3,67,48,12,1,1,1,0,1,1,-1,-1,1,0,-1,1,1,-1,-1,-1,-1,-1,1,1,1,1,1,-1,1,-1,1,0,1,1,1,1,0,,,,-1,-1,1,1,1,0,1,1,1,1,1,,1,,,1,1,1,1,,1,1,1,,1,1,0,,,1,1,1,1,1,0,1,1,1,1,1,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
71,,0,1,1,0,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
74,1,0,147,99,31,1,1,1,0,1,1,-1,-1,1,0,-1,1,1,-1,-1,-1,-1,1,1,1,1,1,1,-1,1,-1,1,1,1,1,1,1,1,,,,-1,-1,1,1,0,1,1,1,1,1,1,,1,,,1,1,1,1,,1,1,1,,1,1,0,,,1,1,1,1,1,0,1,1,1,1,1,0,1,-1,1,1,-1,-1,1,,,,,-1,1,,1,1,-1,,,,1,1,1,-1,-1,1,1,1,0,1,-1,1,-1,1,1,,-1,0,1,-1,-1,-1,1,-1,-1,1,1,1,1,1,1,1,1,1,0,1,1,1,,1,0,1,0,1,1,1,1,-1,1,1,1,1,1,0,1,1,1,-1,1,1,0,0,0,0,-1,1,-1,-1,1,0,,,,,,,
76,1,0,69,48,15,1,1,1,0,1,1,-1,-1,0,-1,-1,1,1,-1,-1,-1,-1,1,1,1,1,1,1,-1,-1,-1,1,1,1,1,1,0,1,,,,-1,0,1,1,0,1,1,1,1,1,1,,-1,,,1,1,1,1,,1,1,1,,1,1,1,,,1,1,1,1,1,0,1,1,-1,1,1,,1,-1,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
78,1,1,70,45,13,1,1,1,0,0,1,-1,0,1,-1,-1,1,1,-1,-1,-1,-1,1,-1,1,0,1,1,1,-1,-1,-1,1,1,1,1,1,1,,,,-1,0,1,1,1,1,1,1,1,1,1,,0,,,1,1,1,1,,1,1,-1,,1,1,1,,,1,0,1,1,1,0,1,1,1,0,0,,1,0,0,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
79,1,0,70,55,12,1,1,1,1,1,1,0,1,1,-1,-1,1,1,-1,-1,-1,-1,0,1,1,-1,1,1,-1,-1,-1,1,1,1,1,1,1,1,,,,1,1,0,1,1,1,1,1,1,1,1,,1,,,1,1,1,1,,1,1,1,,1,1,1,,,1,1,1,1,1,-1,1,1,1,1,1,,1,-1,1,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
81,1,0,53,32,3,1,1,1,1,,1,1,0,1,0,-1,1,1,0,0,0,0,1,,1,1,,,,1,0,,1,1,0,,1,0,,,,,1,-1,,1,,0,1,0,0,0,,,,,0,1,1,0,,1,1,,,,1,1,,,,1,1,1,1,1,,-1,0,,1,,,1,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
86,1,0,42,29,5,1,,1,1,,,,,,1,-1,1,,,-1,1,0,1,1,1,0,,1,1,1,,1,1,0,1,,,,,,,,1,-1,,-1,1,,,0,0,,,,,,,,1,1,,0,,1,,,,0,,,1,,1,1,1,1,1,-1,,0,1,,1,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
90,1,0,70,31,22,1,0,1,0,-1,1,1,-1,-1,-1,-1,-1,1,-1,0,1,-1,-1,0,-1,1,1,1,0,1,-1,1,-1,1,1,-1,-1,1,,,,1,-1,1,1,-1,1,0,-1,1,0,0,,0,,,1,1,0,1,,1,1,0,,1,1,1,,,-1,0,-1,1,0,0,1,-1,0,0,1,,1,-1,0,-1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
91,1,0,153,117,27,1,1,1,1,1,1,0,1,1,-1,-1,1,1,-1,-1,-1,-1,1,1,1,-1,1,1,-1,-1,-1,1,1,1,1,1,1,1,,,,-1,1,1,1,1,1,1,1,1,1,1,,1,,,1,1,1,1,,1,1,1,,1,1,1,,,1,1,1,1,1,-1,1,1,1,1,1,,1,-1,1,1,-1,-1,1,,,,,0,1,,1,1,-1,,,,1,1,-1,-1,1,1,1,0,0,1,1,1,-1,1,1,,1,1,1,1,1,-1,1,-1,-1,1,1,-1,1,1,1,1,1,1,1,-1,1,1,,1,1,0,1,1,1,1,1,1,1,1,1,1,1,1,-1,-1,1,-1,1,1,0,1,1,1,1,1,1,0,1,1,1,0,1,0,1,1,1
92,1,0,31,15,4,1,,1,0,,1,1,,,,,,1,-1,,,0,0,0,,,,,0,,-1,-1,1,,,,,,,,,0,1,-1,,,,,,,,0,,,,,,,1,,,0,,0,,1,1,0,,,1,0,,,1,1,,,1,,,,1,,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
93,1,3,31,24,3,1,,,,1,1,1,1,1,,,,1,,,1,0,-1,,1,,0,,1,1,,,,1,,,,,,,,,,1,,,,1,1,,,,,,,,1,1,,,,,,,,,1,-1,,,1,0,,,1,,,1,0,,-1,,,,,,1,1,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
94,1,0,28,17,6,1,1,,1,,,,,,0,-1,,,-1,,,-1,,,,,,1,,,,1,,1,,,1,,,,,0,,-1,,1,,1,1,1,1,,,1,,,,,,0,,,0,,,,1,,,,,0,1,,,,-1,-1,,,1,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
95,1,0,70,56,3,1,1,1,1,1,1,0,1,1,1,-1,1,1,0,0,0,-1,1,1,1,1,1,1,-1,1,0,1,1,1,1,1,0,0,,,,0,1,1,1,0,1,1,1,1,1,1,,0,,,1,1,1,1,,1,1,1,,0,1,1,,,1,1,1,1,1,1,1,1,1,1,1,,1,1,1,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
