participant,group-id,n-comments,n-votes,n-agree,n-disagree,0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27,28,29,30,31,32,33,34,35,36,37,38,39,40,41,42,43,44,45,46,47,48,49,50,51,52,53,54,55,56,57,58,59,60,61,62,63,64,65,66,67,68,69,70,71,72,73,74,75,76,77,78,79,80,81,82,83,84,85,86,87,88,89,90,91,92,93,94,95,96,97,98,99,100,101,102,103,104,105,106,107,108,109,110,111,112,113,114,115,116,117,118,119,120,121,122,123,124,125,126,127,128,129,130,131,132,133,134,135,136,137,138,139,140,141,142,143,144,145,146,147,148,149,150,151,152,153,154,155,156,157,158,159,160,161,162,163,164,165,166,167,168,169,170,171,172,173
100,1,0,15,5,2,0,1,,,,,,,,,0,,,,,0,,0,,,,1,,,0,-1,,,,,,1,,,,,,,1,,,0,,,,,,,,,,,,,0,,,,,,,,,,,0,,,,1,,-1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
102,1,0,37,16,7,0,1,,0,,1,0,1,0,0,,,,,,,-1,,0,0,1,-1,1,0,,-1,1,,,1,0,,0,,,,,0,,,,,1,,,,,,,,,0,0,,1,,1,,,,,1,,,,1,,1,1,,,,-1,,,,,,-1,1,-1,1,-1,,,,,,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
107,1,0,75,52,12,1,1,1,1,1,1,-1,0,1,1,-1,1,1,0,0,1,-1,-1,1,1,1,1,1,-1,0,-1,1,1,1,1,1,1,0,,,,-1,1,1,1,1,1,1,1,1,1,-1,,1,,,1,1,1,1,,1,1,1,,0,-1,0,,,1,1,1,1,0,0,1,1,1,1,1,,1,-1,0,0,1,-1,1,,,,,-1,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
113,1,0,76,51,19,1,1,1,0,1,1,-1,-1,1,1,-1,1,1,-1,-1,-1,-1,0,1,1,1,1,1,-1,-1,-1,1,1,1,1,1,1,-1,,,,1,0,1,1,-1,1,1,1,1,1,0,,0,,,1,1,1,1,,-1,1,1,,1,1,1,,,1,1,1,1,1,-1,1,1,1,-1,1,,1,-1,-1,1,-1,-1,1,,,,,0,1,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
117,1,0,51,31,13,1,1,1,1,,,,,,,,,,,-1,0,-1,1,,,1,1,,,,-1,-1,,,,1,1,1,,,,-1,,-1,,1,,,,,1,,,0,,,,,,,,,,0,,,,,,,1,,1,,,-1,,,,,-1,,,-1,,1,,,,,,,,,1,,,,0,,,,0,1,0,1,1,,1,,,1,,,-1,1,,,-1,0,1,,,,,-1,-1,1,,1,,1,1,1,1,1,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
120,1,0,22,14,5,1,,,,,1,-1,-1,,,,,,,,,-1,,,,,,,-1,,,,,,,1,,,,,,,1,,,,,,,1,,,,0,,,1,1,1,,,,,,,1,,1,,,,,0,1,,,,,,0,,,,,,,-1,,,,,,,,1,,1,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
122,,0,6,5,0,1,,,,,,,,,,,1,,,,,,,,,,,,,1,,,,,,1,,,,,,,0,,,,,,,,,,,,,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
123,1,0,50,11,3,1,,1,0,0,0,-1,-1,0,0,,,0,0,0,,0,0,,,,,0,,0,-1,1,0,0,0,1,0,,,,,,,0,,,,1,0,1,,,,,,,0,0,1,,,0,0,,,,0,0,,,1,0,0,1,0,,0,0,,0,1,,,0,,,0,0,0,,,,,,1,,0,,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
124,0,0,78,32,28,1,0,-1,-1,1,-1,-1,-1,0,-1,-1,1,1,1,1,1,1,-1,1,1,1,0,-1,-1,1,-1,1,0,0,0,1,1,-1,,,,0,-1,1,0,-1,0,0,-1,-1,0,-1,,1,,,-1,1,-1,0,,0,-1,1,,1,-1,1,,,1,1,1,1,-1,-1,-1,-1,0,0,1,,-1,1,0,0,1,-1,-1,,,,,1,1,,1,1,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
126,1,0,78,55,17,1,1,1,0,1,1,1,-1,1,-1,0,1,1,-1,-1,-1,-1,1,1,1,1,1,1,1,1,-1,1,-1,1,1,1,1,1,,,,1,1,-1,1,-1,1,1,1,0,1,1,,1,,,1,1,1,0,,1,0,-1,,1,1,1,,,1,1,1,1,1,1,1,-1,1,0,-1,,1,1,1,-1,-1,1,1,,,,,-1,1,,1,1,-1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
130,1,0,23,21,1,1,,,,1,,,,,,,1,-1,,,,1,,,,1,,,,,1,,,1,1,,,,,,,,,1,,,1,,,,,1,,1,,,1,,,,,,,1,,,,,,,1,,,,0,,,1,1,1,,,,1,,,1,,,,,,,,,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
134,1,0,15,7,6,0,,-1,,,,,,,-1,,,,,-1,,,,,,,,,,,,,,,,,,,,,,,,,1,,,,,,1,,,,,,1,-1,,,,,,,,-1,1,-1,,,1,,,,,,,,1,,,,,,,,1,,,,,,,,,,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
136,1,0,33,20,9,1,,1,1,,,,1,,,,1,0,-1,,,-1,0,,,1,,,1,0,,-1,1,,,1,,1,,,,,,-1,1,-1,1,,1,,,,,0,,,,1,,,,,,-1,,,1,,,,,1,,1,,-1,-1,,,,,,,,1,,,-1,1,,,,,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
138,1,0,11,6,5,-1,,,1,,,,,,,,,,,,,,,,,,,,,,-1,,-1,,,,,-1,,,,,,,,-1,1,,,,,,,,,,,,,,,,,,,,1,,,,,,,,,,,,,,,,1,,,1,,,,,,,,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
139,0,0,78,22,51,1,-1,-1,-1,1,1,-1,-1,-1,1,-1,-1,-1,1,1,1,0,-1,1,1,-1,-1,-1,-1,1,-1,1,-1,-1,-1,-1,-1,-1,,,,-1,-1,1,1,-1,-1,-1,-1,-1,-1,-1,,1,,,-1,1,-1,-1,,-1,-1,1,,-1,-1,0,,,-1,-1,-1,0,-1,-1,1,1,-1,0,1,,1,-1,-1,-1,-1,1,-1,,,,,0,1,,-1,-1,-1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
141,1,0,42,31,9,1,,,,1,1,,,1,-1,,1,1,-1,,,-1,,,,,1,,,-1,-1,1,1,,,,1,,,,,0,-1,1,1,1,,,,,,0,,,,,1,1,1,1,,1,1,,,1,,1,,,1,,1,,,,1,,,,,,1,-1,-1,,1,,1,,,,,,1,,1,,-1,,,,,1,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
147,1,0,25,15,5,1,,1,0,,,,,-1,-1,,,-1,,,,,,,,,,,,,-1,,,,,1,,1,,,,,1,,,,1,1,1,,1,,,,,,,,,,,1,,,,,,,,,0,,1,,,,1,1,,,,,1,-1,,,,0,,,,,,,1,,0,,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
148,1,0,78,52,24,1,1,1,1,1,1,-1,-1,1,1,0,1,-1,-1,-1,-1,-1,1,-1,1,1,1,1,1,-1,-1,-1,1,1,1,1,-1,1,,,,1,1,-1,1,1,1,1,1,1,1,1,,-1,,,1,1,1,1,,1,1,-1,,-1,1,1,,,1,1,1,1,1,-1,1,1,-1,0,-1,,1,1,-1,1,-1,-1,1,,,,,-1,1,,1,1,-1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
152,1,0,64,45,9,1,,1,1,1,,-1,1,1,-1,0,,1,-1,-1,0,-1,1,1,1,,1,1,0,-1,-1,1,1,,1,0,0,,,,,0,1,,1,-1,1,1,,,1,1,,0,,,1,1,1,1,,1,1,1,,1,1,1,,,1,1,1,,1,,1,,1,1,,,,1,1,1,0,-1,1,,,,,0,1,,1,1,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
153,1,0,73,48,15,1,1,1,0,1,1,1,1,0,-1,-1,1,0,-1,-1,1,-1,1,-1,-1,,1,1,-1,-1,-1,1,1,1,,1,-1,1,,,,1,0,1,1,1,,1,1,1,1,,,0,,,1,1,1,1,,1,1,1,,1,1,1,,,1,1,1,1,1,0,1,0,1,0,1,,-1,,1,1,0,-1,-1,,,,,0,1,,1,1,-1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
156,1,0,80,52,20,1,1,1,-1,1,1,-1,1,1,,0,,-1,-1,-1,-1,-1,1,,1,1,1,1,-1,-1,-1,1,1,1,1,0,0,1,,,,-1,,1,,-1,1,1,,,1,,,0,,,0,1,1,1,,1,1,1,,,1,1,,,1,1,,1,,0,1,1,-1,1,1,,1,-1,1,1,0,-1,,,,,,-1,1,,0,1,,,,,-1,1,-1,-1,,,,1,,,1,1,,1,,,,1,,1,1,,,,-1,1,,1,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
163,1,0,78,64,10,1,1,1,1,1,1,1,1,1,-1,0,1,1,-1,-1,-1,-1,1,1,1,1,1,1,0,1,-1,1,1,1,1,1,0,1,,,,1,1,1,1,1,1,1,1,1,1,1,,1,,,1,1,1,1,,1,1,1,,1,1,1,,,1,1,1,1,1,-1,1,1,1,1,1,,-1,-1,-1,1,1,0,1,,,,,1,1,,1,1,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
164,0,0,76,46,28,1,1,1,1,1,1,1,-1,1,1,-1,1,-1,1,1,1,0,-1,1,-1,1,1,-1,-1,1,-1,1,-1,1,-1,1,1,-1,,,,1,-1,1,1,-1,-1,-1,-1,-1,1,-1,,1,,,,1,-1,-1,,0,-1,1,,1,1,,,,-1,1,-1,-1,1,1,1,1,1,1,1,,1,-1,-1,-1,1,1,1,,,,,1,1,,1,1,-1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
168,1,0,78,43,29,1,1,-1,-1,1,1,-1,-1,1,1,1,1,-1,-1,-1,0,-1,1,1,-1,1,1,1,-1,-1,-1,1,1,1,1,0,-1,1,,,,-1,0,-1,1,-1,1,1,1,1,1,-1,,1,,,1,-1,1,1,,-1,-1,1,,0,-1,-1,,,1,1,-1,1,-1,1,1,1,1,1,1,,0,-1,-1,1,-1,-1,1,,,,,-1,1,,1,1,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
169,1,3,84,68,9,1,1,1,0,1,1,1,1,1,1,-1,1,1,-1,-1,-1,-1,1,0,1,1,1,1,1,1,-1,1,1,1,1,1,1,1,,,,1,-1,1,1,1,1,1,1,1,1,1,,0,,,1,1,1,1,,1,1,0,,1,1,1,,,1,1,1,1,1,0,1,1,1,1,1,,1,-1,1,1,0,0,1,,,,,-1,1,,1,1,1,1,1,1,1,1,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
175,1,0,90,70,16,1,1,1,1,1,1,1,1,1,0,-1,1,-1,-1,-1,0,-1,1,1,1,1,1,1,-1,-1,-1,1,1,1,1,1,-1,1,,,,-1,1,1,1,1,1,1,1,1,1,1,,1,,,1,1,1,1,,1,1,1,,1,1,1,,,1,1,1,1,1,-1,0,-1,1,1,1,,1,1,1,1,1,-1,1,,,,,0,1,,1,1,1,,,,-1,1,-1,-1,1,1,1,1,1,1,1,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
176,1,0,13,9,4,1,,1,-1,,,-1,-1,,,,,,,,,,,,,,,1,,,,,,1,,,,,,,,,,,1,,,,,,,,,,,,,,,,,,,1,,,,,,,,1,,,-1,,,,1,,,,,,,,,,,,,,,,,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
178,1,2,63,33,14,1,1,,0,1,,,,0,-1,-1,,0,,-1,-1,-1,1,,0,,,,1,1,-1,-1,1,1,1,1,0,,,,,0,1,0,1,1,,,1,1,,0,,-1,,,1,,1,0,,1,0,,,1,1,,,,1,,1,1,,,1,0,0,,1,,-1,-1,1,0,-1,-1,1,,,,,,1,,1,1,,,,,0,,0,0,,,,,,1,-1,,-1,1,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
182,,0,1,1,0,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
184,1,0,15,7,5,-1,,1,-1,1,,-1,,,,,,,,,1,,,,,,,,-1,,,,,,,,,,,,,,-1,,,,,,1,,,,,0,,,,,,1,,0,,,,,,,,,,,,,,,,1,,,,,,,0,,,,,,,,,,,,,,,,,,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
190,1,0,81,59,22,1,1,1,-1,1,1,-1,-1,-1,1,1,1,1,-1,1,1,-1,-1,1,1,1,1,1,-1,1,-1,1,1,1,1,1,1,1,,,,1,-1,1,1,-1,1,1,1,1,1,-1,,1,,,1,1,1,1,,1,1,1,,1,1,1,,,1,1,1,1,1,1,1,1,1,-1,1,,-1,-1,-1,1,-1,-1,1,,,,,-1,1,,1,1,-1,,,,-1,1,-1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
191,1,0,32,24,4,1,,1,0,,,,,1,,,1,,-1,,,-1,1,1,,1,1,1,-1,,-1,1,,,1,,,,,,,,,,,,1,,,,,,,,,,,1,1,,,1,1,1,,,,1,,,,0,1,1,,,,,1,,,,,,,,0,,1,,,,,,,,,1,0,,,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
194,1,0,81,55,15,1,-1,1,0,-1,1,0,-1,0,1,0,1,0,-1,-1,-1,-1,1,1,1,-1,1,0,-1,-1,-1,1,1,1,1,1,-1,1,,,,1,1,1,1,0,1,1,1,1,1,1,,0,,,1,1,1,1,,1,1,1,,1,1,1,,,1,1,1,1,1,0,1,1,0,1,1,,1,0,1,1,1,-1,1,,,,,-1,1,,1,1,-1,,,,1,1,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
195,1,0,19,13,2,1,,,,1,,,,,,,,,,,,,,,,,,,0,,,,1,,,,,,,,,,,,,,1,,,,,1,,0,,,,,1,1,,,,,,1,,,,,1,,,,,,,1,,1,0,,,,-1,,,1,,,,,,0,,,,,,,,,,1,-1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
199,,0,2,1,0,1,,,,,,,,,,,,,,,,,,,,,,,,,,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
200,1,0,47,35,4,1,1,,,,0,,,1,,,,,,,,,,,,,,1,,1,,1,1,,1,1,,,,,,,,,,1,,1,1,1,,,,-1,,,1,1,,1,,,1,,,,,,,,,,1,,,0,,,,,0,,1,,0,1,-1,,,,,,,,1,,,,0,,,,,,,1,1,,,1,,1,-1,,,,,,,,,,,1,,,1,,,,,1,1,,,,1,-1,,1,,1,,1,0,0,,1,1,,,,,,0,,,,,,,,,,,,,,,,,,,,,,,,
201,1,0,42,23,6,1,1,1,-1,,,1,1,-1,,,,1,,,1,,,1,,,1,1,,,-1,,1,1,0,1,,,,,,0,1,,,,0,,0,1,0,,,-1,,,1,,,,,0,1,,,0,,1,,,,0,,,,0,1,,,,1,,-1,1,0,0,0,1,,,,,,-1,1,,,,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
203,1,0,29,18,9,-1,,1,,1,1,-1,,,,1,,1,,-1,-1,,,1,,,,,,-1,-1,,,,,,,1,,,,,-1,,,1,,1,,,1,1,,0,,,,,,,,,,1,,,,1,,,1,1,,,,,,,,1,,,1,,-1,,0,,,,,,,,,,,1,,,,,,,-1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
205,1,8,90,52,23,1,0,1,-1,1,1,-1,-1,1,-1,-1,0,-1,-1,-1,1,-1,1,1,0,0,1,1,-1,-1,-1,1,1,1,1,1,-1,1,,,,1,1,-1,1,1,0,0,0,-1,1,0,,1,,,1,1,1,1,,0,1,1,,0,0,1,,,-1,1,1,0,-1,1,1,1,1,0,-1,,1,-1,1,-1,-1,-1,0,,,,,-1,1,,1,1,0,,,,1,1,1,1,1,1,1,1,1,1,1,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
207,1,0,51,21,25,1,1,,-1,1,,,-1,1,-1,,-1,,-1,,,-1,,,,-1,1,1,-1,-1,-1,1,,1,,1,-1,1,,,,,,-1,,-1,1,1,-1,-1,,,,0,,,,1,,-1,,0,-1,,,1,1,,,,-1,0,1,,,-1,1,,,-1,-1,,1,-1,1,0,,-1,,,,,,,1,,0,1,-1,,,,,,-1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
208,0,0,50,28,18,1,,,-1,,1,,,1,1,,1,1,1,1,1,,-1,,1,,1,0,-1,,-1,1,,,-1,-1,,-1,,,,,,1,,1,,1,-1,-1,1,,,1,,,1,-1,0,,,,-1,1,,,1,1,,,,-1,1,1,,1,,,,,,,1,-1,,-1,-1,,0,,,,,,1,,0,1,-1,,,,-1,1,-1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
213,1,0,88,67,20,1,1,1,-1,1,1,1,1,1,1,-1,1,1,-1,-1,1,-1,1,-1,1,1,1,1,1,-1,-1,-1,1,1,1,1,-1,1,,,,-1,1,1,1,1,1,1,1,1,1,1,,-1,,,-1,1,1,1,,1,1,-1,,1,1,1,,,1,1,1,1,1,1,1,1,-1,1,-1,,1,-1,1,1,1,1,1,,,,,-1,1,,1,1,0,,,,-1,1,-1,,1,1,1,1,1,1,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
214,1,0,62,30,6,0,1,1,1,1,1,,0,1,-1,,0,0,-1,-1,-1,,0,1,1,0,1,1,0,0,0,,,1,,,0,0,,,,0,0,-1,1,0,,1,1,,1,0,,,,,,1,,1,,,1,,,1,,0,,,0,1,1,1,1,0,,1,1,1,0,,1,-1,,,0,,,,,,,0,1,,,,,,,,0,0,0,,0,0,1,,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
216,0,0,72,33,36,1,1,-1,,,,,-1,-1,1,-1,-1,1,1,1,,-1,-1,1,1,-1,-1,-1,-1,1,-1,1,,-1,-1,1,,-1,,,,-1,-1,1,1,1,1,-1,,-1,,-1,,1,,,0,0,-1,-1,,-1,-1,1,,-1,1,1,,,-1,,-1,1,,,1,1,-1,1,1,,-1,-1,1,-1,-1,1,0,,,,,-1,,,1,1,-1,,,,-1,,,,,1,1,1,-1,1,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
218,1,0,87,54,10,1,1,1,-1,1,1,0,1,1,-1,1,1,1,-1,-1,-1,-1,1,1,1,-1,1,1,-1,0,0,1,1,0,1,1,0,1,,,,-1,0,-1,1,0,1,1,1,1,1,0,,1,,,1,1,1,0,,1,1,1,,1,1,1,,,1,1,0,1,0,1,1,0,0,0,1,,1,0,1,0,0,0,1,,,,,1,1,,0,1,0,,,,0,1,0,,1,,1,1,0,1,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
220,1,0,93,74,14,1,1,1,1,1,1,1,1,1,1,-1,1,1,-1,-1,-1,-1,1,0,1,1,1,1,1,1,-1,1,1,1,1,1,1,1,,,,1,-1,1,1,1,1,1,1,1,1,1,,0,,,1,1,1,1,,1,1,-1,,1,1,1,,,1,1,1,1,0,0,1,1,1,1,1,,1,-1,1,1,0,-1,1,,,,,-1,1,,1,1,1,,,,1,1,1,1,1,-1,1,1,1,1,-1,1,-1,1,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
224,1,0,43,29,8,1,,,,,,,1,1,,,1,,,-1,,-1,,,,1,,1,-1,,,1,,1,1,,-1,,,,,1,0,,1,1,,,,,1,,,0,,,1,1,,,,1,,,,,1,,,,-1,,,,,,1,,1,,,,1,1,0,-1,1,-1,0,,,,,1,,,1,1,0,,,,,0,,,,1,,1,1,-1,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
226,1,0,13,5,7,1,,,-1,,-1,,,,,,,,,-1,,,-1,,,,,,,,,1,,,,,,,,,,,,,1,,,,-1,,,,,,,,,,,,,,,,,,1,,,,1,,,,,,,,0,,,,,,,,,,,,,,,,,,,,,,,,,,-1,,,,,,,-1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
227,1,0,50,31,18,1,,,,1,1,-1,,1,-1,0,1,1,-1,,-1,,-1,-1,1,,1,1,,-1,-1,-1,,1,1,,1,1,,,,-1,,-1,,,1,,,1,,1,,,,,1,1,,1,,,,,,,1,-1,,,1,,,1,,1,,,-1,,,,1,,,1,1,,,,,,,-1,,,,,1,,,,,1,-1,-1,-1,-1,,1,1,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
