participant,group-id,n-comments,n-votes,n-agree,n-disagree,0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27,28,29,30,31,32,33,34,35,36,37,38,39,40,41,42,43,44,45,46,47,48,49,50,51,52,53,54,55,56,57,58,59,60,61,62,63,64,65,66,67,68,69,70,71,72,73,74,75,76,77,78,79,80,81,82,83,84,85,86,87,88,89,90,91,92,93,94,95,96,97,98,99,100,101,102,103,104,105,106,107,108,109,110,111,112,113,114,115,116,117,118,119,120,121,122,123,124,125,126,127,128,129,130,131,132,133,134,135,136,137,138,139,140,141,142,143,144,145,146,147,148,149,150,151,152,153,154,155,156,157,158,159,160,161,162,163,164
0,0,54,124,62,5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,1,,,,,,,1,,,1,1,,,,1,,1,1,1,,1,1,1,,,,,0,1,1,0,0,0,1,-1,-1,1,0,1,1,,1,,0,,,1,,,1,1,,1,0,0,,-1,1,,,1,1,1,0,1,1,1,1,0,1,0,1,,0,1,,1,1,,1,,1,1,1,1,1,1,,,,,1,0,0,0,1,,1,1,1,1,1,,,1,1,1,1,1,1,1,0,-1,-1,1,1,1,,,1,1,1
2,0,0,41,22,16,-1,1,0,-1,-1,1,1,1,1,1,1,1,1,1,0,1,1,1,1,1,0,1,-1,-1,1,1,1,-1,-1,-1,-1,1,-1,-1,1,-1,1,-1,-1,-1,-1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
3,0,0,56,35,16,-1,1,0,1,1,1,1,1,1,1,0,1,1,1,1,0,1,1,-1,1,1,1,1,-1,0,1,1,-1,-1,-1,1,-1,-1,-1,-1,1,1,-1,-1,1,1,,-1,,,,,,,1,,,1,1,,,,1,,0,-1,1,,1,1,1,,,,,-1,1,1,-1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
4,0,2,124,74,27,-1,1,-1,-1,-1,1,1,1,1,1,1,1,1,1,1,-1,1,1,1,1,-1,-1,-1,-1,1,1,1,-1,-1,-1,1,-1,-1,-1,1,-1,1,-1,-1,-1,1,1,1,,,,,,,1,,,1,1,,,,1,,1,0,1,,1,1,0,,,,,0,0,1,-1,,,0,1,0,1,0,1,1,,1,,0,,,0,,,1,1,,-1,1,1,,-1,0,,,1,1,1,0,1,0,1,1,1,0,1,0,0,1,-1,,1,1,,1,,1,-1,1,1,1,1,,,,,1,0,1,0,1,,1,1,1,1,0,,,0,1,1,1,1,1,-1,0,0,-1,1,0,1,,,-1,0,1
5,0,0,41,15,18,-1,-1,0,0,0,1,1,1,1,1,1,0,1,1,-1,-1,0,1,0,0,-1,-1,-1,-1,0,1,-1,-1,1,-1,1,-1,-1,-1,1,-1,-1,1,-1,1,-1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
6,0,0,41,19,17,-1,1,-1,1,-1,1,1,1,-1,1,1,-1,1,1,0,0,0,1,1,0,1,1,-1,0,1,1,-1,-1,1,-1,-1,-1,-1,-1,1,-1,1,-1,-1,1,-1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
7,0,0,41,28,13,-1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,-1,-1,1,1,-1,-1,1,-1,-1,-1,-1,-1,1,-1,-1,1,-1,1,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
8,0,0,41,23,18,-1,1,1,1,1,1,1,-1,1,1,-1,-1,1,1,1,-1,1,1,-1,1,-1,1,1,-1,-1,1,1,-1,1,1,1,-1,-1,-1,1,-1,-1,-1,1,-1,-1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
9,0,0,52,21,20,-1,0,-1,0,0,1,1,1,1,1,1,1,1,1,-1,-1,0,1,0,0,-1,-1,-1,-1,0,1,-1,-1,1,-1,1,-1,-1,-1,1,-1,-1,1,-1,1,-1,,1,,,,,,,1,,,1,1,,,,-1,,0,0,0,,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,,,,,,,,,,,,,,-1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
10,0,0,41,19,14,-1,0,1,1,1,1,1,0,1,-1,0,1,1,0,0,-1,1,1,1,1,0,0,0,-1,1,1,1,-1,-1,-1,-1,1,-1,-1,-1,1,1,-1,-1,1,-1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
11,0,5,124,74,23,1,1,1,0,0,0,1,-1,1,1,1,1,1,1,-1,-1,0,1,1,1,-1,-1,-1,-1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,1,1,1,1,,,,1,,,1,1,,,,1,1,1,0,0,,1,1,1,,,,,1,-1,1,-1,,,1,1,1,1,-1,0,1,,1,,-1,,,1,,,1,1,,0,1,1,,-1,1,,,1,1,1,1,1,1,1,1,0,0,1,1,-1,-1,-1,,1,1,,1,,1,1,-1,-1,1,1,,,,,1,-1,1,1,1,,1,1,1,1,-1,,,1,1,1,1,1,1,1,-1,-1,-1,1,-1,1,,,,,
12,0,0,8,3,5,1,,-1,,,,,,,,,-1,,,,,,1,,,-1,,,,,,,,,,,,,,,,,,-1,1,-1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
13,0,0,41,27,12,0,1,1,1,0,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,-1,1,1,-1,1,-1,-1,1,1,-1,-1,-1,-1,1,1,-1,-1,-1,-1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
14,0,0,41,18,19,0,1,1,0,1,1,1,-1,1,1,0,1,1,1,-1,-1,1,1,-1,-1,-1,0,-1,-1,1,1,1,-1,-1,-1,-1,1,-1,1,-1,-1,1,-1,-1,-1,-1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
17,1,0,41,20,20,-1,1,-1,1,1,1,-1,-1,1,1,1,1,-1,-1,1,-1,1,1,-1,1,1,1,-1,0,1,-1,1,-1,-1,-1,1,-1,-1,-1,1,-1,1,-1,-1,-1,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
19,0,0,41,16,19,-1,1,-1,-1,-1,0,1,1,1,1,1,0,1,1,-1,0,-1,1,-1,0,0,1,-1,-1,0,1,-1,1,-1,1,1,-1,-1,-1,-1,1,1,-1,-1,-1,-1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
20,0,3,36,10,10,-1,1,-1,1,-1,0,,-1,1,1,-1,1,1,1,-1,0,0,0,0,0,,,-1,-1,0,0,0,0,0,-1,0,,-1,0,0,,,,0,,0,,,,,,,1,1,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
21,0,0,118,44,36,-1,1,,0,1,1,1,1,1,1,1,0,1,1,-1,0,1,-1,-1,0,-1,-1,-1,-1,0,1,-1,-1,1,-1,1,-1,-1,-1,1,-1,-1,1,-1,1,-1,,1,,,,,,,1,,,1,-1,,,,0,,0,0,1,,1,1,0,,,,,-1,-1,0,-1,,,-1,1,-1,1,-1,0,0,,0,,0,,,-1,,,1,0,,-1,1,1,,-1,-1,,,0,1,1,-1,1,0,1,1,0,0,-1,0,,0,-1,,1,-1,,1,,1,0,0,0,0,-1,,,,,1,0,0,0,1,,0,0,0,0,0,,,0,0,1,0,1,1,0,0,1,-1,-1,1,1,,,,,
22,0,0,41,25,13,-1,1,1,1,-1,1,1,-1,1,1,1,0,1,1,0,1,0,1,1,1,1,1,1,1,1,-1,1,-1,1,-1,1,-1,-1,-1,-1,1,1,-1,-1,1,-1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
23,1,1,51,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,0,,,,,,,1,1,,0,0,,,,0,,0,0,0,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
24,0,0,78,43,25,-1,1,0,-1,-1,1,-1,1,1,-1,1,1,1,1,-1,-1,-1,1,0,1,0,0,-1,-1,0,1,-1,-1,1,-1,1,-1,-1,-1,-1,1,1,-1,-1,1,-1,,1,,,,,,,0,,,1,1,,,,1,,1,1,1,,0,1,1,,,,,-1,0,,-1,,,1,,-1,1,1,1,1,,,,1,,,1,,,1,0,,1,1,1,,-1,,,,1,1,1,,1,0,1,1,1,-1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
25,1,0,36,18,13,-1,1,0,1,1,1,1,1,,1,,,1,-1,0,0,1,1,0,,1,1,1,1,0,1,-1,-1,-1,-1,-1,1,-1,-1,1,-1,1,,-1,-1,-1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
26,0,0,41,19,22,-1,1,1,1,1,1,1,-1,1,1,1,1,1,1,-1,-1,-1,1,-1,1,-1,-1,-1,-1,1,-1,-1,1,1,-1,-1,-1,-1,-1,-1,1,1,-1,-1,-1,-1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
27,0,0,39,26,11,-1,1,1,1,0,1,1,1,1,1,1,1,1,1,1,,1,1,1,1,1,1,0,-1,1,1,1,-1,1,-1,-1,-1,-1,-1,,-1,-1,1,-1,1,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
28,1,0,41,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
29,0,0,41,23,17,1,1,-1,1,-1,1,1,1,-1,1,1,1,1,1,1,-1,1,1,1,1,-1,1,1,-1,0,1,1,-1,1,-1,-1,-1,-1,-1,-1,1,1,-1,-1,-1,-1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
32,0,0,80,40,17,-1,1,0,1,0,1,1,1,1,1,1,1,1,1,0,0,0,1,0,1,-1,-1,0,-1,0,1,1,-1,-1,-1,1,1,-1,-1,1,-1,1,-1,-1,-1,-1,,0,,,,,,,0,,,1,1,,,,1,,1,1,1,,0,1,0,,,,,,0,1,-1,,,0,-1,,0,-1,0,1,,,,1,,,0,,,1,0,,,0,1,,0,1,,,,1,,1,1,1,1,1,1,0,0,0,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
34,0,0,1,0,1,-1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
35,0,0,9,5,3,-1,,,,-1,,,1,,,,1,,,,,,,,,1,,,,,,1,,,,,,0,,,,1,-1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
36,1,3,106,53,35,-1,1,1,1,1,1,-1,1,1,1,1,0,0,-1,1,1,1,1,1,1,0,1,1,0,1,1,1,-1,1,1,1,-1,-1,-1,1,-1,-1,-1,1,-1,1,,0,,,,,,,-1,,,1,-1,,,,-1,,1,-1,1,,-1,1,-1,,,,,-1,1,1,-1,,,0,1,0,0,-1,1,1,,0,,0,,,-1,,,-1,-1,,-1,0,1,,-1,1,,,0,1,1,1,1,1,1,-1,0,-1,-1,-1,,1,-1,,1,0,,0,,1,-1,1,-1,-1,-1,,,,,1,0,1,1,1,,0,1,-1,0,,1,,,,,,,,,,,,,,,,,,,
38,0,2,43,22,16,-1,1,-1,-1,-1,1,1,1,1,1,1,1,0,-1,1,0,0,1,1,1,1,-1,-1,-1,0,1,-1,-1,1,0,1,-1,-1,-1,-1,1,1,-1,-1,1,1,,,,,,,,,,,,1,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
39,0,0,41,21,17,-1,1,1,1,-1,1,1,1,-1,1,1,1,0,1,1,-1,-1,1,1,1,1,1,-1,-1,1,-1,1,-1,-1,1,0,-1,-1,-1,0,1,1,-1,-1,-1,-1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
40,1,1,42,21,14,-1,0,1,0,1,1,0,-1,1,1,1,0,-1,1,1,0,1,1,1,1,0,1,-1,1,1,1,1,-1,-1,1,1,-1,-1,-1,-1,-1,0,1,-1,-1,-1,,,,,,,,,,,,,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
42,1,0,41,30,11,1,1,1,1,1,1,1,-1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,-1,-1,-1,-1,1,-1,-1,1,-1,1,-1,-1,1,-1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
43,1,0,21,15,6,-1,,1,1,1,,1,,,,-1,,1,1,,1,,1,,,1,,1,1,1,,,-1,,1,1,,,,-1,,,1,,-1,-1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
44,0,3,41,19,20,-1,,-1,-1,-1,1,1,,1,1,,1,1,1,-1,0,1,1,-1,1,-1,-1,-1,-1,0,1,1,-1,-1,1,-1,-1,-1,-1,-1,1,1,-1,-1,1,-1,,,,,,,,,,,,,,,1,1,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
45,0,0,41,18,18,-1,1,0,1,-1,0,1,1,1,1,1,1,1,1,-1,0,-1,1,1,1,-1,0,-1,-1,0,1,-1,-1,-1,1,1,-1,-1,-1,1,-1,-1,-1,1,-1,-1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
46,0,0,41,18,16,-1,1,1,1,1,1,1,-1,-1,1,0,1,1,0,1,0,1,1,0,0,0,0,-1,-1,1,-1,1,-1,-1,-1,-1,1,-1,-1,1,-1,1,-1,-1,1,-1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
47,0,0,41,12,13,-1,1,1,1,-1,-1,1,-1,1,1,1,1,1,1,-1,-1,-1,1,-1,1,-1,-1,-1,-1,-1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
48,0,0,41,16,17,-1,0,1,0,0,1,1,0,1,1,1,1,1,1,-1,0,0,1,0,0,-1,-1,-1,-1,1,1,1,-1,-1,-1,1,-1,-1,1,-1,-1,-1,-1,1,-1,-1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
51,0,0,41,18,19,-1,-1,1,0,0,1,1,1,1,1,1,1,1,1,-1,-1,0,1,1,1,0,-1,-1,-1,-1,1,-1,-1,1,-1,1,-1,-1,-1,-1,1,1,-1,-1,-1,-1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
53,1,1,30,10,13,-1,-1,-1,-1,,0,1,1,1,-1,,,1,1,,0,-1,-1,-1,-1,1,-1,1,1,0,0,1,-1,,-1,,0,0,,,-1,,,,,0,,,,,,,,,,,,,,,,,,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
56,0,0,30,16,11,-1,1,,1,0,1,1,-1,1,1,1,0,,1,,-1,,1,1,,,-1,-1,1,0,,1,,-1,,-1,1,-1,-1,1,,1,-1,-1,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
59,0,0,41,24,17,-1,1,1,1,-1,1,1,-1,1,1,1,1,1,1,1,-1,1,1,-1,1,1,1,-1,-1,1,1,1,-1,1,-1,1,-1,-1,-1,1,-1,-1,1,-1,-1,-1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
60,0,0,8,3,5,-1,,,1,,,,,1,,,,,,,,,,1,,,,,,,,,,,-1,,-1,,,,,,-1,-1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
62,0,1,51,25,26,-1,1,,-1,-1,-1,1,1,1,1,1,-1,1,1,-1,-1,-1,1,-1,-1,-1,-1,-1,1,-1,-1,1,1,-1,1,1,-1,-1,-1,1,-1,-1,1,1,1,-1,,1,,,,,,,1,,,1,-1,,,,1,,1,-1,1,,-1,,,,,,,,,,-1,,,,,,,,,,,,,,,,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
63,0,0,41,16,17,0,1,-1,0,0,1,1,-1,1,1,1,1,1,0,0,1,-1,1,0,1,0,1,-1,-1,0,1,-1,-1,-1,-1,-1,1,-1,-1,1,-1,-1,-1,1,-1,-1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
64,0,0,41,20,13,-1,1,1,0,1,1,1,1,0,1,1,1,1,1,0,0,0,1,1,1,0,-1,-1,-1,1,-1,0,1,0,-1,-1,1,-1,1,-1,-1,-1,1,-1,-1,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
65,0,1,42,19,16,0,1,-1,-1,0,1,1,1,1,1,1,1,1,1,1,0,1,1,0,-1,0,-1,-1,0,0,1,-1,-1,-1,-1,-1,1,-1,1,-1,-1,1,-1,-1,-1,1,,,,,,,,,,,,,,,,,,,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
