participant,group-id,n-comments,n-votes,n-agree,n-disagree,0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27,28,29,30,31,32,33,34,35,36,37,38,39,40,41,42,43,44,45,46,47,48,49,50,51,52,53,54,55,56,57,58,59,60,61,62,63,64,65,66,67,68,69,70,71,72,73,74,75,76,77,78,79,80,81,82,83,84,85,86,87,88,89,90,91,92,93,94,95,96,97,98,99,100,101,102,103,104,105,106,107,108,109,110,111,112,113,114,115,116,117,118,119,120,121,122,123,124,125,126,127,128,129,130,131,132,133,134,135,136,137,138,139,140,141,142,143,144,145,146,147,148,149,150,151,152,153,154,155,156,157,158,159,160,161,162,163,164
67,0,1,42,29,12,-1,1,1,1,1,1,1,-1,1,1,1,1,1,1,-1,1,1,1,1,1,1,1,0,-1,1,1,1,-1,1,-1,1,-1,-1,-1,1,-1,-1,-1,1,1,1,,,,,,,,,,,,,,,,,,,,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
69,0,1,7,4,3,-1,,,,,,,,,,,,,,,,-1,,,,,1,,,,,,,1,,,,,,1,,-1,,,,,,,,,,,,,,,,,,,,,,,,,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
70,0,1,42,16,25,-1,-1,-1,1,-1,-1,1,1,1,1,1,-1,0,1,-1,1,-1,1,-1,1,-1,-1,-1,-1,-1,-1,1,-1,-1,-1,-1,1,-1,-1,1,-1,-1,1,-1,-1,1,,,,,,,,,,,,,,,,,,,,,,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
71,0,0,41,20,19,-1,1,-1,1,1,1,1,1,-1,1,1,0,1,1,-1,0,1,1,-1,1,-1,1,-1,-1,1,1,1,-1,1,-1,1,-1,-1,-1,-1,-1,1,-1,-1,-1,-1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
72,0,8,122,65,42,-1,-1,-1,1,-1,1,1,1,1,1,1,1,1,1,-1,1,-1,1,-1,1,-1,-1,-1,-1,1,1,1,-1,-1,-1,-1,1,-1,-1,-1,1,1,-1,-1,0,-1,,1,,,,,,,-1,,,1,1,,,,1,,1,-1,1,,-1,1,0,,,,,-1,-1,1,-1,,,0,0,-1,0,-1,-1,1,,1,,1,,,1,,,1,1,,1,1,1,,1,1,,,1,1,1,1,1,1,1,1,1,0,1,0,,1,0,,1,-1,,1,,1,0,-1,-1,-1,-1,,,,,1,-1,1,1,1,,0,-1,-1,1,1,,,-1,1,0,0,1,1,0,-1,0,1,0,1,1,,,-1,-1,1
74,0,1,44,19,21,-1,1,-1,0,-1,1,1,-1,1,1,1,1,1,1,-1,-1,0,1,0,1,-1,-1,-1,-1,-1,1,1,-1,1,-1,1,-1,-1,-1,-1,1,1,-1,-1,-1,-1,,0,,,,,,,1,,,,,,,,,,,,,,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
75,0,0,8,4,2,-1,,0,0,,,,,,1,,,,,,1,1,,,,,,,,,,,,,,,,,,-1,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
76,0,0,69,36,24,-1,0,0,0,0,1,1,1,1,1,1,0,1,1,-1,1,1,1,0,1,-1,-1,-1,-1,1,1,-1,-1,1,-1,-1,-1,-1,-1,-1,1,-1,1,-1,-1,-1,,1,,,,,,,1,,,1,1,,,,,,1,-1,,,1,,1,,,,,-1,,1,,,,,,-1,,1,1,,,,,,,,,,,,1,,-1,,1,,-1,,,,,,1,0,1,0,,1,0,,1,,,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,,,1,,,,,,-1,,,,,,,,
77,0,0,31,17,12,-1,-1,1,,1,,1,,1,,1,1,1,1,,,1,1,0,1,,-1,-1,,,1,-1,-1,1,-1,,-1,-1,-1,1,-1,,-1,1,1,,,0,,,,,,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
79,0,1,44,18,16,-1,1,0,0,-1,1,1,-1,1,1,1,1,1,1,-1,0,0,1,0,-1,1,-1,-1,-1,0,1,-1,-1,1,-1,1,-1,0,-1,1,-1,0,0,0,1,-1,,-1,,,,,,,1,,,,,,,,,,,,,,,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
80,0,0,43,19,17,-1,1,0,0,0,1,1,1,1,1,1,1,1,1,-1,0,0,1,0,1,-1,-1,-1,-1,0,1,1,-1,1,-1,-1,-1,-1,-1,1,-1,-1,-1,1,-1,-1,,1,,,,,,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
81,0,0,43,17,18,-1,0,1,1,-1,1,1,-1,1,1,0,1,0,1,0,-1,1,1,1,0,-1,-1,-1,-1,0,1,1,-1,-1,-1,-1,1,-1,-1,1,-1,-1,1,-1,1,-1,,0,,,,,,,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
82,0,0,43,19,21,-1,-1,-1,-1,-1,0,1,0,1,1,1,-1,1,1,1,1,1,1,0,1,-1,-1,-1,-1,1,1,-1,-1,-1,1,-1,-1,-1,-1,1,-1,-1,-1,1,1,1,,1,,,,,,,-1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
84,0,0,43,24,16,-1,1,-1,-1,-1,1,1,1,1,1,1,1,1,1,1,0,0,1,1,1,-1,1,1,-1,0,1,1,-1,-1,1,-1,-1,-1,-1,1,-1,-1,-1,1,-1,1,,1,,,,,,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
90,0,0,50,36,14,-1,1,1,1,1,1,1,1,1,1,-1,1,1,1,1,1,1,1,1,1,-1,-1,-1,-1,1,1,1,-1,1,-1,1,-1,-1,-1,1,-1,-1,1,1,1,1,,-1,,,,,,,1,,,1,1,,,,1,,1,1,1,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
92,0,0,50,25,20,-1,0,1,1,0,0,1,-1,1,1,1,1,1,1,-1,-1,1,1,-1,1,-1,-1,1,-1,0,-1,-1,1,1,-1,1,-1,-1,-1,-1,1,1,-1,-1,-1,-1,,1,,,,,,,1,,,1,1,,,,1,,-1,0,1,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
96,0,0,50,24,18,-1,1,0,1,0,1,1,-1,1,1,0,0,1,1,-1,0,1,1,-1,1,0,-1,-1,-1,0,1,1,-1,-1,-1,1,-1,-1,-1,-1,1,1,-1,-1,1,-1,,0,,,,,,,1,,,1,1,,,,1,,-1,1,1,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
98,0,2,43,12,21,-1,0,0,0,-1,1,1,-1,0,-1,-1,-1,1,1,-1,,-1,1,-1,-1,-1,,-1,-1,,,1,0,,0,,-1,0,-1,-1,,1,0,0,,-1,,-1,,,,,,,1,,,1,-1,,,,0,,-1,,-1,,1,,,,,,1,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
99,1,1,51,26,22,-1,1,1,1,-1,1,1,1,1,1,1,1,1,-1,1,0,0,1,-1,1,-1,1,-1,-1,1,1,-1,-1,1,-1,1,-1,-1,-1,1,-1,-1,1,-1,-1,-1,,1,,,,,,,1,,,-1,-1,,,,1,,1,-1,0,,-1,,,,,,,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
100,0,0,118,75,23,-1,1,,0,0,1,1,-1,1,1,1,0,1,1,-1,0,0,1,0,1,0,-1,-1,-1,1,-1,-1,1,1,-1,1,-1,-1,-1,-1,1,-1,1,-1,-1,-1,,1,,,,,,,1,,,1,1,,,,1,,1,1,1,,0,1,1,,,,,0,1,1,-1,,,1,1,1,1,1,1,1,,0,,-1,,,1,,,1,1,,-1,0,1,,-1,1,,,1,1,1,1,0,1,1,1,1,0,0,1,,1,1,,1,1,,1,,1,0,1,1,1,0,,,,,1,1,1,1,1,,1,1,0,1,0,,,1,1,1,1,1,1,0,1,-1,-1,0,1,1,,,,,
102,0,0,50,24,20,-1,0,1,1,-1,1,1,-1,1,1,1,1,1,1,-1,0,0,1,0,1,0,-1,-1,-1,1,-1,1,1,-1,1,-1,-1,-1,-1,1,-1,-1,1,-1,-1,-1,,1,,,,,,,1,,,0,1,,,,-1,,1,-1,1,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
105,0,0,50,31,17,-1,1,1,-1,1,1,1,1,1,1,1,1,0,1,-1,1,1,1,1,1,-1,-1,-1,-1,1,1,1,-1,-1,1,1,-1,-1,0,1,-1,-1,1,-1,-1,-1,,1,,,,,,,1,,,1,1,,,,1,,1,-1,1,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
107,0,0,50,22,14,-1,1,0,0,0,1,1,0,1,1,0,0,1,1,0,0,1,1,-1,1,0,-1,0,1,1,1,1,-1,-1,-1,-1,1,-1,-1,1,-1,1,-1,-1,-1,-1,,0,,,,,,,1,,,0,1,,,,1,,1,1,0,,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
108,0,0,50,21,29,-1,1,-1,1,-1,1,1,-1,1,1,1,1,1,1,-1,1,-1,1,-1,-1,-1,-1,-1,-1,1,-1,-1,1,-1,-1,-1,1,-1,-1,-1,1,1,-1,-1,-1,-1,,1,,,,,,,-1,,,-1,-1,,,,1,,-1,-1,1,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
109,0,0,50,27,13,-1,0,1,1,1,1,1,1,1,1,0,0,1,1,0,0,0,1,1,1,0,-1,-1,-1,0,1,1,-1,1,-1,1,-1,-1,-1,1,-1,-1,-1,1,-1,1,,0,,,,,,,1,,,1,1,,,,1,,0,1,1,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1,0,0,25,11,14,,-1,,,,1,,1,,1,1,1,1,,-1,1,-1,1,-1,,,,-1,-1,1,1,-1,-1,1,-1,-1,,,,,,-1,,-1,-1,-1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
30,0,0,4,1,2,,-1,-1,,,0,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
83,0,0,37,10,5,,1,0,0,-1,0,1,1,1,1,1,1,,,-1,0,1,1,0,0,-1,,-1,-1,0,0,0,0,0,0,0,0,0,0,0,0,,,0,0,0,,1,,,,,,,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
94,0,0,32,21,10,,1,-1,-1,1,1,1,-1,,1,,,1,1,,,,1,1,1,,0,,-1,,1,1,-1,-1,,,,-1,-1,1,,-1,1,-1,,1,,1,,,,,,,1,,,,1,,,,1,,,1,,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
106,0,0,22,10,9,,1,,-1,-1,,,,1,-1,,,1,1,,-1,1,1,-1,,,-1,,,-1,1,,,0,,,,0,,,,,,,,-1,,1,,,,,,,,,,1,,,,,0,,-1,,,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
111,0,0,44,26,18,,1,,,,1,1,1,1,1,1,1,1,1,-1,-1,1,1,1,1,-1,-1,-1,-1,1,1,-1,-1,-1,-1,,-1,-1,,1,-1,-1,-1,1,1,-1,,1,,,,,,,1,,,1,1,,,,-1,,,1,1,,1,,,,,,,,,,-1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
112,0,7,56,33,16,,1,,1,1,1,1,-1,1,0,1,1,1,1,-1,-1,1,0,0,0,1,-1,-1,0,1,1,-1,-1,1,-1,1,-1,-1,-1,-1,1,1,-1,-1,1,1,,1,,,,,,,1,,,1,1,,,,0,,1,0,1,,-1,,,,,,,,,,-1,,,1,1,,1,1,,,,1,,,,1,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
113,1,3,52,23,21,,1,,1,1,1,0,1,-1,-1,-1,-1,-1,-1,1,1,0,-1,0,0,1,1,-1,1,1,1,1,-1,-1,1,1,-1,-1,-1,1,1,-1,1,-1,1,-1,,0,,,,,,,-1,,,-1,0,,,,-1,,-1,0,1,,-1,,,,,,,,,,0,,,,,1,,,,1,,,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
114,1,4,53,32,20,,1,,1,1,1,-1,1,-1,-1,-1,1,-1,-1,1,-1,1,1,1,1,1,1,1,1,1,1,1,-1,-1,1,-1,1,-1,-1,-1,1,1,1,-1,1,-1,,0,,,,,,,-1,,,-1,1,,,,-1,,-1,1,1,,-1,,,,,,,,,,1,,,,,,,,1,,1,,1,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
115,1,0,19,11,5,,1,,,1,1,-1,,,,,,1,,,,-1,,,-1,,1,,,1,1,,,,,,,,,1,,,1,,-1,,,,,,,,,,0,,,,0,,,,-1,,1,,0,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
117,0,0,31,17,10,,1,,1,,1,1,1,1,,1,0,1,1,-1,0,0,1,,,,,-1,,,,1,,,-1,-1,,-1,-1,1,-1,,-1,,,,,,,,,,,,1,,,-1,,,,,1,,1,0,1,,1,,,,,,,,,,-1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
119,0,0,49,26,17,,1,,1,1,1,1,1,1,1,1,-1,1,-1,1,1,1,1,-1,1,0,1,-1,-1,0,1,-1,-1,-1,-1,0,1,-1,1,-1,-1,1,1,-1,-1,-1,,1,,,,,,,1,,,0,0,,,,1,,1,-1,0,,1,,,,,,,,,,-1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
120,1,0,48,23,23,,1,,1,1,1,1,,1,1,-1,-1,1,0,-1,1,-1,1,-1,-1,-1,1,-1,1,1,1,1,-1,0,-1,1,-1,-1,-1,1,-1,-1,-1,1,-1,-1,,1,,,,,,,-1,,,1,-1,,,,-1,,1,-1,1,,1,,,,,,,,,,-1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
121,0,1,9,3,2,,0,,,,,,,,,,,,1,,,,1,,,,-1,-1,,,,,,,,,,,,,,0,,,0,,,,,,,,,,,,,,,,,,,,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
122,0,0,26,16,10,,1,,1,,,,1,,1,,,,1,-1,,,1,1,1,1,,-1,-1,1,,1,,-1,,-1,1,-1,,1,-1,1,,,,-1,,1,,,,,,,,,,,,,,,,,,-1,1,,,,,,,,,,,,-1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
123,0,0,48,30,13,,1,,,1,1,1,-1,1,1,1,1,1,1,1,1,0,1,1,1,1,1,0,1,1,0,-1,-1,-1,-1,1,0,-1,1,-1,-1,1,-1,-1,-1,-1,,1,,,,,,,1,,,1,1,,,,1,,1,1,1,,0,,,,,,,,,,-1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
124,0,0,49,21,14,,1,,0,0,1,1,1,1,0,0,1,1,1,0,0,0,1,0,1,0,-1,0,0,1,1,1,-1,-1,-1,-1,1,-1,1,-1,-1,1,-1,-1,-1,-1,,1,,,,,,,0,,,1,0,,,,1,,1,0,1,,-1,,,,,,,,,,-1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
125,0,0,49,29,20,,1,,1,-1,1,1,-1,1,1,-1,1,1,1,-1,-1,1,1,1,1,-1,-1,-1,-1,1,1,1,-1,-1,-1,-1,1,-1,-1,1,-1,1,-1,-1,1,-1,,1,,,,,,,1,,,1,1,,,,1,,1,1,1,,1,,,,,,,,,,-1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
127,0,0,49,27,18,,1,,-1,1,1,1,-1,1,1,1,0,-1,1,0,1,1,1,0,1,1,-1,1,-1,1,1,1,-1,1,1,1,-1,-1,-1,1,-1,-1,-1,1,1,-1,,-1,,,,,,,1,,,0,1,,,,-1,,-1,-1,1,,1,,,,,,,,,,-1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
128,0,1,50,27,23,,1,,-1,1,1,1,-1,1,-1,-1,1,1,1,1,1,1,1,-1,-1,-1,-1,-1,-1,1,-1,-1,1,1,-1,1,-1,-1,-1,1,-1,-1,-1,1,1,-1,,1,,,,,,,1,,,-1,-1,,,,1,,1,1,1,,1,,,,,,,,,,-1,,,,,,,,,,,,,,,,,,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
129,0,0,49,28,14,,1,,0,1,1,1,1,1,1,1,1,1,1,0,0,0,1,-1,1,0,1,-1,0,1,1,-1,-1,-1,-1,1,1,-1,-1,1,-1,-1,-1,1,-1,-1,,1,,,,,,,1,,,1,1,,,,1,,1,1,1,,0,,,,,,,,,,-1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
130,0,0,49,22,26,,1,,1,-1,1,1,1,1,1,-1,-1,1,1,-1,-1,-1,1,-1,1,-1,-1,-1,-1,1,1,1,-1,-1,-1,-1,-1,-1,1,-1,-1,-1,-1,0,-1,-1,,1,,,,,,,1,,,-1,1,,,,1,,1,-1,1,,1,,,,,,,,,,-1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
131,1,0,43,26,16,,1,,1,1,1,1,-1,1,,1,-1,1,-1,1,1,1,,1,,0,1,-1,1,1,1,-1,-1,1,-1,1,-1,-1,-1,1,-1,1,-1,,-1,,,-1,,,,,,,1,,,1,1,,,,-1,,1,1,1,,-1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
132,1,0,49,22,27,,1,,-1,1,1,1,1,-1,-1,1,1,-1,-1,1,1,1,-1,-1,1,1,1,1,1,1,1,-1,-1,-1,-1,-1,1,-1,1,-1,-1,-1,-1,1,-1,-1,,1,,,,,,,-1,,,-1,-1,,,,-1,,-1,-1,1,,-1,,,,,,,,,,-1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
135,1,0,21,10,6,,0,,,,1,1,,-1,1,,,-1,,,0,,,,,,1,,,0,1,1,,,-1,1,-1,,1,,,,,,,-1,,,,,,,,,,,,,0,,,,,,0,1,1,,-1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
136,0,0,12,5,7,,-1,,,,,,-1,,1,,,,1,,,,,,,,,,-1,,,,,,,,,-1,1,,-1,,-1,,-1,,,,,,,,,,1,,,,,,,,,,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
137,0,0,49,31,17,,1,,1,1,1,1,-1,1,1,1,1,1,1,1,0,1,1,-1,1,-1,1,-1,-1,1,1,1,-1,-1,-1,-1,1,-1,1,-1,-1,-1,1,-1,-1,-1,,1,,,,,,,1,,,1,1,,,,1,,1,1,1,,1,,,,,,,,,,-1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
