participant,group-id,n-comments,n-votes,n-agree,n-disagree,0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27,28,29,30,31,32,33,34,35,36,37,38,39,40,41,42,43,44,45,46,47,48,49,50,51,52,53,54,55,56,57,58,59,60,61,62,63,64,65,66,67,68,69,70,71,72,73,74,75,76,77,78,79
0,0,54,54,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,,,,,,,,,,,,,,,,,,0,0,0,0,0,0,0,0,0,0,0,,,,,,0,,,
1,1,1,38,25,11,1,,,1,1,-1,1,-1,-1,1,1,1,,1,,1,1,1,1,-1,,0,1,1,1,1,-1,1,1,1,-1,1,-1,-1,-1,-1,1,1,1,-1,1,0,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2,1,0,51,29,14,1,,,1,1,0,1,-1,-1,1,1,1,,1,,1,1,1,1,1,,-1,1,1,-1,-1,1,1,1,-1,-1,-1,1,-1,-1,-1,-1,0,0,-1,0,-1,,,,,,,,,,,,,,,,,,,0,0,1,1,1,1,0,1,1,,1,,0,,1,1,1,,,
3,1,0,37,23,12,1,,,1,1,0,1,-1,-1,1,1,1,,1,,0,1,1,1,1,,1,1,1,-1,-1,1,1,1,1,1,-1,-1,-1,1,-1,1,1,-1,-1,-1,-1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
5,1,0,32,22,7,1,,,1,1,1,1,-1,-1,1,1,1,,1,,1,1,1,1,1,,1,1,,-1,-1,,1,1,1,1,-1,-1,0,0,,1,1,0,,,-1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
6,1,0,37,20,10,1,,,1,1,-1,1,-1,0,1,1,1,,0,,0,1,1,1,0,,1,0,0,1,1,-1,1,1,1,-1,-1,1,-1,-1,1,-1,0,1,-1,1,-1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
7,1,0,37,25,12,1,,,1,1,1,1,-1,-1,1,1,-1,,1,,1,1,1,1,1,,1,1,1,1,1,-1,1,1,1,-1,-1,1,-1,-1,-1,-1,1,1,-1,1,-1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
9,1,0,37,21,15,1,,,1,1,-1,1,-1,-1,1,1,1,,1,,1,1,1,1,1,,0,1,1,-1,-1,1,1,1,-1,-1,-1,1,-1,-1,-1,1,1,-1,-1,-1,-1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
10,1,0,51,32,16,1,,,-1,1,1,1,-1,-1,1,1,-1,,1,,1,1,1,1,1,,1,1,1,1,1,-1,1,-1,1,-1,1,-1,-1,-1,-1,-1,-1,1,-1,1,-1,,,,,,,,,,,,,,,,,,,-1,1,1,1,1,1,1,1,1,,1,,0,,0,0,1,,,
11,1,0,37,20,12,1,,,1,1,-1,1,-1,-1,1,1,1,,0,,1,1,1,1,1,,1,0,1,1,1,-1,1,-1,1,-1,1,-1,-1,-1,0,1,-1,0,-1,0,-1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
12,0,0,37,18,16,-1,,,-1,1,1,1,0,1,0,-1,1,,1,,1,-1,1,-1,-1,,0,-1,1,-1,-1,1,1,1,-1,-1,-1,-1,1,1,1,-1,-1,1,-1,1,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
13,1,2,39,23,13,1,,,1,1,-1,1,-1,1,1,1,-1,,0,,1,1,1,1,1,,1,0,1,1,-1,-1,1,1,1,-1,1,-1,-1,-1,-1,1,1,-1,-1,-1,0,,,1,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
14,1,0,51,36,14,1,,,1,1,1,1,-1,-1,1,1,1,,1,,1,1,1,1,1,,-1,1,1,1,-1,-1,1,1,1,-1,1,-1,-1,-1,-1,1,1,1,-1,1,-1,,,,,,,,,,,,,,,,,,,1,1,1,1,1,1,1,-1,0,,-1,,1,,1,1,1,,,
15,1,7,58,32,17,1,,,1,-1,1,1,-1,-1,1,1,-1,,1,,-1,1,1,1,1,,1,-1,1,0,0,0,1,1,1,0,0,0,0,0,0,1,1,-1,-1,-1,-1,,,,,1,1,,,,,,,,,1,1,1,,-1,-1,1,-1,1,-1,1,1,-1,,1,,-1,1,-1,1,1,1,,
16,1,0,37,24,11,1,,,1,1,0,1,-1,-1,1,1,1,,1,,1,1,1,1,1,,0,1,1,1,1,-1,1,1,1,-1,-1,1,-1,-1,-1,1,1,-1,1,-1,-1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
17,1,0,37,25,10,1,,,1,1,-1,1,-1,0,1,0,1,,1,,1,1,1,1,1,,1,1,1,1,1,-1,1,1,1,-1,1,-1,-1,-1,-1,1,1,1,-1,1,-1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
18,1,0,37,22,14,1,,,1,1,-1,1,-1,-1,1,0,-1,,1,,1,1,1,1,1,,1,1,1,-1,1,1,1,1,1,-1,1,-1,-1,-1,-1,1,1,-1,-1,-1,-1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
19,1,0,37,27,7,1,,,1,1,1,0,0,0,1,1,1,,1,,1,1,1,1,1,,1,1,1,1,1,-1,1,1,1,-1,1,-1,-1,1,-1,1,-1,1,1,1,-1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
21,1,0,42,32,9,1,,,1,1,1,1,-1,-1,1,0,-1,,1,,1,1,1,1,1,,1,-1,1,-1,1,1,1,1,1,-1,1,-1,1,1,1,1,1,1,-1,1,1,,,,,,,,,,,,,,,,,,,,1,,,,,,1,,,1,,-1,,,1,,,,
22,1,0,28,18,7,1,,,1,1,,1,-1,0,,1,,,1,,1,1,1,1,1,,0,1,1,1,,-1,1,,1,-1,-1,1,,-1,-1,-1,0,,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
24,1,0,37,23,10,1,,,1,1,1,1,-1,-1,1,1,1,,1,,1,1,1,1,1,,1,0,1,1,0,-1,1,0,1,-1,1,-1,-1,-1,-1,0,1,1,-1,1,-1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
25,1,0,37,24,13,1,,,1,1,1,1,-1,-1,1,1,-1,,1,,1,1,1,1,1,,1,1,1,-1,-1,1,1,1,1,-1,-1,1,1,-1,-1,1,1,-1,-1,-1,-1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
27,1,5,42,11,3,1,,,0,0,0,0,-1,0,0,1,0,,1,,0,1,0,1,0,,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-1,0,-1,,,,,,,1,1,1,1,1,,,,,,,,,,,,,,,,,,,,,,,,,,,
28,1,0,47,25,12,1,,,1,1,1,1,-1,-1,1,0,0,,1,,1,1,1,1,1,,0,1,0,1,0,-1,1,1,1,-1,1,-1,-1,-1,-1,1,-1,1,-1,1,-1,,,,,,,,,,,,,,,,,,,0,1,1,1,0,0,0,0,-1,,1,,,,,,,,,
30,1,0,37,22,12,1,,,1,1,1,1,-1,-1,1,1,0,,1,,1,1,1,1,1,,1,1,1,1,1,-1,1,-1,1,1,-1,-1,-1,-1,-1,-1,1,0,-1,0,-1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
31,1,0,24,13,9,1,,,1,1,,,-1,-1,1,0,,,1,,1,1,1,,,,0,,,1,,,,,,-1,1,-1,-1,-1,-1,1,-1,1,,1,-1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
33,1,0,37,23,14,1,,,1,1,1,1,-1,-1,-1,-1,-1,,1,,1,1,1,1,1,,1,1,1,-1,-1,1,1,1,-1,-1,1,-1,1,-1,1,1,1,-1,1,-1,-1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
34,1,0,37,20,10,1,,,1,1,1,0,0,-1,0,0,1,,1,,1,1,1,1,1,,1,0,1,1,0,-1,1,1,1,-1,1,-1,-1,-1,-1,-1,1,1,-1,0,-1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
35,0,0,37,24,13,-1,,,-1,1,1,-1,-1,1,1,-1,1,,1,,1,1,1,1,-1,,1,-1,1,-1,-1,1,1,1,1,-1,1,-1,1,1,1,-1,-1,1,1,1,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
38,1,0,35,21,13,-1,,,1,1,1,1,-1,0,1,-1,1,,1,,1,1,1,1,1,,-1,1,1,1,1,-1,1,1,1,-1,-1,1,-1,,-1,-1,-1,,-1,1,-1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
39,1,0,37,16,21,1,,,1,1,-1,1,-1,-1,-1,-1,-1,,-1,,1,-1,1,1,1,,1,1,1,-1,1,-1,1,-1,1,-1,1,-1,-1,-1,-1,1,-1,-1,-1,-1,-1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
41,0,0,37,26,9,-1,,,-1,1,1,1,1,1,1,-1,1,,1,,0,1,1,1,1,,1,0,1,1,1,-1,1,1,1,-1,1,-1,-1,-1,-1,1,1,1,1,1,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
42,1,2,53,36,14,1,,,1,-1,1,1,-1,0,1,1,1,,1,,1,1,1,1,1,,1,-1,1,1,1,-1,1,1,1,-1,1,-1,-1,-1,-1,-1,1,1,-1,1,-1,,,,,,,,,,,,1,,,,,,,-1,1,1,1,1,1,1,1,0,,1,1,1,,-1,0,1,,,
43,1,0,37,21,13,1,,,0,1,-1,1,-1,-1,1,0,1,,1,,0,1,1,1,1,,1,1,1,1,1,-1,1,1,1,-1,1,-1,-1,-1,-1,-1,-1,1,-1,1,-1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
44,1,1,38,25,11,1,,,-1,1,1,1,-1,-1,1,1,1,,1,,1,1,1,1,1,,1,1,1,1,1,-1,1,1,1,-1,0,-1,-1,0,-1,1,-1,1,-1,1,-1,,,,,,,,,,,,,1,,,,,,,,,,,,,,,,,,,,,,,,,
45,1,0,37,27,9,1,,,1,1,1,1,-1,-1,1,1,1,,1,,1,1,1,1,1,,1,1,1,1,-1,0,1,1,1,-1,1,-1,-1,1,-1,1,1,1,-1,1,-1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
47,1,0,37,25,7,1,,,1,1,0,1,-1,0,1,1,1,,0,,1,0,1,1,1,,1,1,1,1,1,-1,-1,1,1,-1,1,-1,-1,0,1,1,1,1,-1,1,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
48,1,0,18,10,7,1,,,1,1,-1,,-1,,,1,,,,,,1,1,1,1,,,,,,,-1,,,1,,-1,,,,,1,0,-1,-1,,-1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
49,1,0,15,9,4,1,,,,1,,1,-1,-1,,,0,,1,,1,1,1,0,,,,1,,,-1,,,,,-1,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
50,1,0,37,23,14,1,,,1,1,-1,1,-1,-1,1,1,1,,1,,1,1,1,1,1,,1,1,1,1,1,-1,1,1,1,-1,1,-1,-1,-1,-1,-1,1,-1,-1,-1,-1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
51,0,1,38,10,13,1,,,0,1,-1,-1,-1,-1,0,0,0,,1,,-1,1,-1,1,0,,-1,-1,0,0,0,0,1,0,0,-1,1,0,0,-1,-1,1,1,-1,-1,0,0,,,,,,,,,,,,,,,,,,1,,,,,,,,,,,,,,,,,,,,
54,1,0,37,23,13,1,,,1,1,-1,1,-1,-1,1,1,1,,1,,1,1,1,1,1,,1,1,-1,1,1,-1,1,1,-1,1,-1,-1,-1,1,0,-1,1,1,-1,-1,-1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
55,1,0,35,15,11,1,,,-1,1,0,1,-1,0,0,0,0,,1,,0,1,0,1,1,,0,0,1,-1,-1,1,,1,,-1,1,-1,-1,-1,-1,1,1,1,-1,1,-1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
56,1,0,37,21,13,1,,,1,1,0,1,-1,-1,0,-1,1,,1,,1,1,1,1,1,,0,1,1,-1,-1,1,1,-1,1,-1,-1,1,1,-1,1,1,-1,-1,-1,1,-1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
57,1,0,47,24,15,1,,,0,1,1,1,-1,-1,-1,0,1,,1,,1,1,0,1,1,,-1,1,1,1,1,-1,1,1,1,-1,-1,1,-1,-1,-1,1,-1,1,-1,1,-1,,,,,,,,,,,,,,,,,,,-1,0,0,0,-1,0,0,1,1,,1,,,,,,,,,
58,0,0,23,8,12,1,,,,1,,1,-1,,0,0,,,-1,,,,-1,,,,,-1,,-1,-1,,1,1,,,,,-1,,,,-1,1,,,-1,,,,,,,,,,,,,,,,,,,1,,0,,-1,1,-1,-1,,,,,,,,,,,,
59,1,0,47,35,12,1,,,1,1,-1,1,-1,-1,1,1,1,,1,,1,1,1,1,1,,1,1,1,1,1,-1,1,1,1,-1,-1,1,-1,-1,-1,1,1,1,-1,1,-1,,,,,,,,,,,,,,,,,,,-1,1,1,1,1,1,1,1,1,,1,,,,,,,,,
60,1,0,17,11,2,1,,,,,-1,,,,1,,1,,1,,,,,,1,,,1,,,,,,1,,0,,,-1,0,,1,,,,,,,,,,,,,,,,,,,,,,,,,0,1,,,,0,1,1,,,,,,,,,,,
61,1,0,47,31,12,1,,,1,1,-1,1,-1,-1,1,1,1,,1,,1,1,1,1,1,,1,1,1,1,-1,-1,1,1,1,-1,1,-1,-1,-1,-1,0,0,1,0,1,-1,,,,,,,,,,,,,,,,,,,-1,1,1,1,1,1,1,1,0,,1,,,,,,,,,
62,1,0,47,28,12,1,,,1,1,0,1,-1,0,1,1,1,,1,,-1,0,1,1,1,,0,1,0,1,-1,-1,1,1,1,-1,-1,1,-1,-1,0,-1,1,1,-1,1,-1,,,,,,,,,,,,,,,,,,,-1,1,1,1,1,1,1,1,0,,1,,,,,,,,,
63,1,0,51,36,5,1,,,1,1,1,1,-1,-1,1,0,1,,1,,1,1,1,1,1,,1,1,1,1,1,0,1,1,1,0,0,1,0,0,-1,1,0,0,1,-1,0,,,,,,,,,,,,,,,,,,,1,1,1,1,1,1,1,1,1,,1,,1,,-1,1,0,,,
64,1,0,47,35,10,1,,,1,1,1,1,-1,-1,1,1,1,,1,,1,1,1,1,1,,1,1,1,1,1,-1,1,1,1,-1,-1,1,-1,-1,-1,1,1,1,-1,0,0,,,,,,,,,,,,,,,,,,,-1,1,1,1,1,1,1,1,1,,1,,,,,,,,,
65,0,1,48,32,15,-1,,,-1,1,1,1,0,1,1,1,1,,1,,1,1,1,1,-1,,1,1,1,1,1,-1,1,-1,1,-1,1,-1,-1,-1,1,-1,1,1,-1,1,-1,,,,,,,,,,,,,,,,,,,1,1,1,1,1,1,-1,1,-1,,-1,,1,,,,,,,
66,1,0,47,34,13,1,,,1,1,1,1,-1,-1,-1,1,1,,1,,1,1,1,1,1,,1,1,1,1,1,-1,-1,1,-1,1,-1,1,-1,-1,-1,1,1,1,-1,1,-1,,,,,,,,,,,,,,,,,,,-1,1,1,1,1,1,1,1,1,,1,,,,,,,,,
